Genes,Interactors,Norm_Symbol
ARHGEF2,"['MARK2', 'PAK1', 'MYC', 'RHOA', 'PPP6C', 'ANKRD28']",ARHGEF2
MEF2BNB-MEF2B,"['TEX11', 'CABIN1']",MEF2BNB-MEF2B
CHRAC1,"['SMARCA5', 'POLE3']",CHRAC1
FOXM1,"['VPRBP', 'SP1', 'FBXL2', 'FZR1', 'OTUB1', 'BANP', 'SMAD3', 'EZH2', 'CDK1', 'USP5', 'CDK2', 'CCNE1']",FOXM1
SEMA4G,"['RBPMS', 'TRIP13']",SEMA4G
PSMC2,"['PSMB5', 'PSMD10', 'PSMB2', 'CCT8', 'PSMC2', 'UCHL5', 'TRIM5', 'HERC3', 'CAD', 'PSMD14', 'PAAF1', 'PSMD3', 'PSMC5', 'PSMC1', 'PSMB8', 'PSMA6', 'KIAA0368', 'PSMB4', 'PSMD1', 'PSMD2', 'PSMC6', 'PSMA5', 'RAD23B', 'PSMA8', 'UBQLN1', 'ADRM1', 'PSMD5', 'PSMA3', 'PSMB7', 'PSMA2', 'PSMD11', 'PSMD8', 'PSMD4', 'PSMA7', 'NDC80', 'PSMD6', 'PSMA4', 'PSMB3', 'UBC', 'PSMC4', 'PSMB1', 'PSMC3', 'PSMD13', 'PSMD7', 'PSMB6', 'SHFM1', 'UBE2C', 'PARK2', 'PSMD12', 'UBLCP1', 'RAD23A', 'PSMA1', 'PSMD9']",PSMC2
KIAA1217,['KRT15'],KIAA1217
PER2,"['BTRC', 'CRY1', 'TP53', 'CRY2', 'CSNK1E']",PER2
AP4M1,"['AP4B1', 'AP4E1']",AP4M1
ASIC3,"['GOPC', 'MAGI1', 'LIN7B']",ASIC3
KIAA0226L,['BECN1'],KIAA0226L
CCNL1,"['CDK11A', 'JMJD6']",CCNL1
SFN,"['PLK4', 'HDAC4', 'G3BP1', 'MARK3', 'MAP3K2', 'CTNNB1', 'COPS6', 'MKRN3', 'SFN', 'GAN', 'YWHAG', 'YWHAQ', 'EIF4B', 'TP53', 'EXO1', 'RAF1', 'ERRFI1', 'BRAF', 'TRIM32', 'EGFR', 'YAP1', 'ARAF', 'AJUBA', 'MDM2', 'RNF115', 'HNRNPD', 'EIF2S1', 'HDAC7', 'YWHAZ', 'TNK1', 'PPIB', 'BAD']",SFN
LAS1L,"['PYHIN1', 'NOL9', 'TEX10', 'SENP3', 'WDR18', 'IPO5', 'SOCS6', 'PELP1']",LAS1L
GTF2H2,"['GTF2H4', 'CDK7', 'ERCC3', 'GTF2H3', 'GTF2H5', 'MNAT1', 'GTF2H1', 'ERCC2']",GTF2H2
RBFOX2,"['RBPMS', 'DAZAP2', 'RBFOX2', 'DMRTB1', 'ELAVL1', 'ATXN1', 'PSMF1', 'QKI', 'HNRNPF', 'RBFOX1']",RBFOX2
RBL2,"['CCNA2', 'CCND3', 'EZH2', 'BRCA1', 'PML', 'LIN37', 'LIN9', 'BRF1', 'RAF1', 'ID2', 'SKP2', 'E2F5', 'LIN52', 'LIN54', 'CCNE1', 'RINT1', 'RBBP8', 'PHB', 'HDAC1', 'E2F4', 'CDK2']",RBL2
GTF2H2C_2,"['GTF2H4', 'GTF2H3', 'GTF2H1', 'ERCC3']",GTF2H2C_2
IPMK,['TRAF6'],IPMK
RPL7,"['RPS11', 'RPS4X', 'RPS25', 'RPL24', 'RPL23', 'RPL21', 'RPS13', 'RPL13', 'ZNF7', 'RPL11', 'HNRNPU', 'RPL37A', 'RPL10', 'RPL12', 'RPL8', 'GNL3', 'RPS19', 'IPO5', 'RPL31', 'RPS26', 'RPL6', 'RPL23A', 'RPL35', 'PHC2', 'RPL36', 'RPS16', 'RPL3', 'RPS14', 'RPS23', 'RPS6', 'RPS15A', 'RPLP0', 'RPL9', 'RPL27A', 'RPL22', 'RPS7', 'RPS2', 'RPS15', 'PABPC1', 'RPL14', 'RPS5', 'RPL18A', 'RPS8', 'RPS12', 'RPS3A', 'RPL19', 'HSP90AA1', 'RPL30', 'RPL18', 'RPSA', 'NCL', 'RPS20', 'RPL32', 'ESR1', 'RPL38', 'RPL15', 'RPL10A', 'RPS3', 'RPL5', 'RPL7A', 'RPL17', 'NOP56', 'RPL4']",RPL7
C21orf2,['VTN'],C21orf2
TMOD2,['SHMT2'],TMOD2
DR1,"['NFYC', 'KAT2A', 'TBP', 'DRAP1', 'MBIP', 'CCDC101', 'WDR5', 'POLE3', 'YEATS2', 'TADA3']",DR1
STOX2,['CSNK1E'],STOX2
GPX7,"['HSPA5', 'CPEB2']",GPX7
TCF7L2,"['PARP1', 'TLE3', 'ZBTB33', 'XIAP', 'CTBP1', 'MEN1', 'DAZAP2', 'AR', 'XRCC6', 'DAXX', 'UBE2I', 'RNF138', 'RNF43', 'USP4', 'CTNNB1', 'HIC1', 'XRCC5', 'SETD8', 'MAD2L2', 'GATA3']",TCF7L2
DAZ1,"['PUM2', 'DAZAP1', 'DAZL', 'DAZAP2']",DAZ1
CDCA7L,"['MYC', 'ZGPAT']",CDCA7L
RMDN2,['VAPB'],RMDN2
STAU2,"['EIF2AK2', 'DHX58']",STAU2
RALGPS2,"['YWHAB', 'YWHAZ', 'YWHAG']",RALGPS2
TOP3A,"['RPA2', 'FANCM', 'FANCA', 'HERC2', 'BLM', 'TSNAX', 'RPA1', 'RMI1', 'APITD1']",TOP3A
ZBTB4,['HIPK2'],ZBTB4
SERPINB5,"['COL1A2', 'KHDRBS3', 'HDAC1', 'GSTM3', 'ISG15', 'FBXO32']",SERPINB5
ATCAY,"['STUB1', 'PIN1']",ATCAY
TTC26,"['TTC30A', 'UBXN10', 'TTC30B']",TTC26
CDC20,"['CCNB1', 'CDC20', 'ANAPC2', 'CCT8', 'CDKN1A', 'CCNA2', 'MAD2L1', 'HSF1', 'FBXO5', 'CDC27', 'PTTG1', 'CDK1', 'BUB1B', 'ANAPC10', 'ANAPC5', 'NEK2', 'CREBBP', 'PLK1', 'YARS2', 'CCT6A', 'TCP1', 'MAD1L1', 'ANAPC7', 'CKS1B', 'HDAC2', 'FZR1', 'HSF2', 'ANAPC11', 'DCPS', 'BUB1', 'CDC16', 'GMNN', 'UBE2S', 'RASSF1', 'EP300', 'MAD2L1BP', 'CCT2', 'SKP2', 'CDC26', 'CCNA1', 'MDC1', 'PPP2CA', 'CCT7', 'ANAPC15', 'ANAPC16', 'CCT5', 'ANAPC1', 'CDC23', 'UBC', 'BUB3', 'E2F1', 'ANAPC4', 'AURKA', 'SPOP', 'UBE2C', 'CCT3', 'SPATC1', 'HDAC1', 'CCT4', 'CDK2', 'MAD2L2', 'PIM1']",CDC20
GNG13,"['GNB5', 'GNB1', 'GNB4']",GNG13
JAK2,"['PTPN1', 'GHR', 'JAK2', 'PTPN11', 'IL5RA', 'PTK2', 'VAV1', 'STAM', 'STAT5A', 'FYN', 'STAT5B', 'TEC', 'PTPN6', 'EPOR', 'CSF2RB', 'INSR', 'SH2B1', 'CDKN1B', 'IL12RB2', 'SHC1', 'TNFRSF1A', 'EGFR', 'CBL', 'STAT3', 'PRLR', 'IFNGR1', 'MAP3K5', 'GRB2', 'PRMT5', 'SOCS3', 'IRS1', 'SOCS1', 'STAT1']",JAK2
DKC1,"['WRAP53', 'FBL', 'NHP2', 'GAR1', 'RPSA', 'NAF1', 'KIAA0020', 'RUVBL2', 'TERC', 'NOP58', 'NOP10', 'DAXX', 'ERG', 'SHQ1', 'RUVBL1']",DKC1
UBE2M,"['EWSR1', 'VCP', 'CUL2', 'UBE2M', 'APP', 'PCBP2', 'NAE1', 'RHOBTB1', 'SOD1', 'COPS7B', 'KBTBD7', 'COPS6', 'GARS', 'NEDD8', 'NISCH', 'PINK1', 'DCUN1D4', 'DLD', 'FBXO7', 'DCUN1D2', 'DCUN1D1', 'SMURF1', 'CUL1', 'KCTD6', 'CUL5', 'COPS7A', 'EFTUD2', 'BTBD1', 'CAND1', 'COPS4', 'UBA3', 'KLHL18', 'CUL3', 'CBL', 'MDM2', 'RBX1', 'COPS5', 'GPS1', 'PRDX1', 'KLHL42', 'SAE1', 'DCUN1D5', 'DCUN1D3', 'CDK2', 'COPS2']",UBE2M
AMT,['HSPA8'],AMT
FAM63B,['UBC'],FAM63B
PRKAG3,"['PRKAB1', 'PRKAB2']",PRKAG3
ARF3,"['KIF23', 'ARFIP2', 'ARFIP1', 'GGA1', 'GGA3']",ARF3
TLN2,['PIP5K1C'],TLN2
TANK,"['TRAF3', 'IKBKE', 'IRF7', 'TBK1', 'MARCH5', 'APBA3', 'ZC3H12A', 'BIRC2', 'TRAF1', 'CEP63', 'TRAF2', 'CD40', 'IKBKG', 'PLK1', 'TANK', 'TRAF6']",TANK
TP63,"['HNRNPK', 'FUS', 'KAT2B', 'ATF3', 'GNB2L1', 'RCHY1', 'SYNCRIP', 'HNRNPAB', 'BTRC', 'CDKN2A', 'ITCH', 'TP53', 'NIPSNAP3A', 'DAXX', 'UBE2I', 'MDM2', 'BRCA1', 'WWP1', 'PML', 'EP300']",TP63
SAP130,"['TAF10', 'ARID4B', 'FOXK2', 'HDAC2', 'CUL2', 'HDAC1', 'CUL4B', 'GPS1', 'SIN3A', 'ING2']",SAP130
SNAI1,"['DNMT1', 'NOTCH1', 'RING1', 'EZH2', 'GSK3B', 'AKT2', 'BTRC', 'HDAC2', 'EGR1', 'TP53', 'USP17L2', 'AKT1', 'EP300', 'HMG20A', 'AJUBA', 'MDM2', 'RNF2', 'FBXL14', 'LASP1', 'LATS2', 'RCOR1', 'HDAC1', 'KDM1A', 'FBXL5', 'CTDSP1', 'TNFAIP3']",SNAI1
DSC1,['DSG2'],DSC1
DEPDC5,"['MIOS', 'RRAGC', 'ITFG2', 'NPRL3', 'SZT2', 'KPTN', 'WDR24', 'NPRL2', 'RRAGA', 'WDR59', 'C12orf66']",DEPDC5
ZKSCAN7,"['SCAND1', 'ZKSCAN4', 'TCEANC']",ZKSCAN7
EXOSC10,"['EXOSC3', 'EXOSC2', 'DIS3L', 'EXOSC1', 'NCL', 'UPF2', 'EXOSC4', 'EXOSC7', 'DIS3', 'EXOSC5', 'EXOSC9', 'EXOSC8']",EXOSC10
DRD4,"['ARRB2', 'KLHL12', 'CUL3']",DRD4
IL6R,"['CNTF', 'ADRB2', 'IL6']",IL6R
VAPA,"['OSBP', 'ARHGEF12', 'USP20', 'PITPNM2', 'OSBPL3', 'VDAC2', 'PITPNM1', 'LSG1', 'ACBD5', 'ZFPL1', 'STK3', 'NDUFS1', 'OSBPL9', 'FAF1', 'RAB3GAP1', 'OSBPL6', 'VDAC1', 'NDUFA2', 'TTC1', 'EGFR', 'VDAC3', 'OSBPL10', 'CLN8', 'WDR44', 'IMMT', 'RMDN3', 'TACC1', 'PHB2', 'OSBPL11', 'VAPB', 'PRKACB', 'OPRM1', 'ATP6V1E1', 'ATP6V1A', 'VAMP2', 'STK4']",VAPA
CLNS1A,"['LSM6', 'SNRPE', 'SNRPG', 'LSM2', 'GAR1', 'PRMT5', 'LSM3', 'LSM11', 'LSM10', 'SNRPF', 'RIOK1', 'WDR45', 'SNRPB', 'SNRPD3', 'WDR77', 'SNRPD1', 'ITGA2B', 'SNRPD2']",CLNS1A
TMED4,"['TMED2', 'TMED10']",TMED4
EXOC2,"['EXOC6', 'BECN1', 'SERGEF', 'RALB', 'EXOC1', 'EXOC7', 'EXOC5', 'EXOC8', 'EXOC3', 'RALA', 'EXOC4']",EXOC2
TAF1B,"['RRN3', 'TBP', 'TAF1D', 'TAF1A', 'HIST2H2AC', 'ESR1', 'HIST2H2BE', 'THAP7', 'TAF1C', 'HIST1H3A']",TAF1B
ALOX12,"['ITGB4', 'KRT5', 'ALOX12', 'LMNA']",ALOX12
CCDC101,"['TAF12', 'KAT2A', 'MBIP', 'EDC4', 'ATXN7L3', 'ATXN7', 'CSRP2BP', 'TADA2A', 'KAT2B', 'KRT15', 'WDR5', 'HIST3H3', 'TADA2B', 'TAF5L', 'TAF6L', 'TADA3', 'TADA1', 'SUPT3H', 'TRRAP', 'SUPT20H', 'SUPT7L', 'DR1', 'USP22', 'ZZZ3', 'YEATS2', 'TCF4']",CCDC101
IL6ST,"['GRB2', 'LIFR', 'JAK1', 'SOCS3', 'PTPN11', 'TLE1', 'SHC1', 'CNTFR']",IL6ST
CABP1,"['ITPR1', 'CACNA1A', 'CACNA1C']",CABP1
POLE3,"['POLE4', 'DRAP1', 'BAZ1A', 'SMARCA5', 'POLE2', 'DR1', 'POLE', 'CHRAC1', 'YEATS2']",POLE3
NUSAP1,['KPNB1'],NUSAP1
FUCA1,['MARK2'],FUCA1
MRPL52,"['MRPL12', 'MRPL50']",MRPL52
NARFL,"['MMS19', 'CIAO1']",NARFL
ATG5,"['ATG12', 'ATG16L1', 'SQSTM1', 'OPTN', 'FADD', 'ATG3', 'WDFY3', 'WIPI2', 'TECPR1']",ATG5
FTCD,['HIF1A'],FTCD
DUSP4,"['MAPK3', 'MAPK8', 'MAPK1', 'MAPK14']",DUSP4
TIMP4,['MMP2'],TIMP4
PSTPIP2,"['PTPN12', 'PTPN18', 'GRB2', 'PTPN22']",PSTPIP2
SMARCB1,"['SMARCE1', 'ARID1B', 'SMARCD3', 'KMT2A', 'KMT2C', 'SMARCB1', 'SMARCA2', 'SMARCD2', 'PPP1CB', 'UBN1', 'BRCA1', 'YEATS4', 'CREBBP', 'SS18', 'SMARCC2', 'XPC', 'HDAC2', 'XPO1', 'MCPH1', 'TP53', 'CDK8', 'SOX2', 'AKT1', 'BCL7C', 'PPP1CA', 'DPF2', 'CHFR', 'ARID1A', 'SMARCC1', 'SMARCA4', 'SMARCD1', 'PPP1R15A', 'RB1CC1', 'ASF1A', 'PPP1CC', 'HIRA', 'BCL7A', 'SIN3A', 'MYC', 'DPF3', 'ACTL6A', 'POLR2A']",SMARCB1
MRPS23,"['HNRNPA1', 'MRPS31', 'MRPS2', 'MRPS27']",MRPS23
TRAF6,"['UBE2N', 'VAV3', 'IRAK4', 'TRAF4', 'EDARADD', 'MALT1', 'XIAP', 'EIF2AK2', 'ZRANB1', 'STUB1', 'DDX3X', 'TGFBR2', 'AKT1', 'SRC', 'IPMK', 'TAB2', 'UBE2I', 'UBC', 'MYB', 'IRF7', 'BIRC3', 'TNFRSF13B', 'TNFAIP3', 'TAX1BP1', 'UBE2D3', 'OTUB1', 'USP4', 'ZMYND11', 'TICAM1', 'NTRK1', 'MAP3K14', 'STK26', 'UBE2D1', 'TIFA', 'USP2', 'TANK', 'CUL5', 'EDA2R', 'NGFR', 'TICAM2', 'PSEN2', 'MAP3K5', 'TAB3', 'SOCS3', 'CYLD', 'PPP4C', 'TGFBR1', 'MAP3K7', 'H2AFX', 'NUMBL', 'IL1R1', 'BIRC2', 'KIR2DL4', 'USP20', 'TRAF6', 'TRAF3IP2', 'TP53', 'IRF4', 'CASP8', 'RIPK2', 'USP7', 'MAP3K3', 'PELI3', 'LIMD1', 'LAT', 'RANBP9', 'PSEN1', 'PELI2', 'HIF1A', 'PLEKHO1', 'MAVS', 'TAB1', 'FHL2', 'TIRAP', 'TLR3', 'CD40', 'PELI1', 'IRAK2', 'MCL1', 'YOD1', 'LGMN', 'OTUB2', 'HSPA4', 'MAP3K11', 'AMBRA1', 'TBK1', 'IL17RA', 'PINK1', 'SQSTM1', 'MAGEE2', 'IRAK1', 'ZNF675', 'BECN1', 'MTOR', 'UBE2D2', 'TNFRSF11A', 'TRAF1', 'UBE2L3', 'IKBKG', 'WDR34', 'TRAF5', 'ARRB2', 'MYD88', 'TRAF2', 'UBE2V1', 'SYK']",TRAF6
SCLT1,"['CCDC22', 'KIF23', 'TBK1', 'SSBP1', 'LUZP1', 'COMMD8', 'KIZ', 'COMMD2', 'FGFR1OP', 'EXOC4']",SCLT1
BTBD6,['DAXX'],BTBD6
PVR,['DYNLT1'],PVR
IFT88,"['IFT80', 'UBXN10', 'TTC30A', 'TTC30B', 'IFT81', 'IFT46', 'IFT57']",IFT88
NCR3,['BAG6'],NCR3
AKAP8L,"['RNF31', 'DHX9', 'IRS4', 'RNF43', 'TMPO']",AKAP8L
CUEDC1,"['NEDD4L', 'NEDD4', 'MYO6']",CUEDC1
LAMTOR1,"['RRAGB', 'RRAGC', 'RRAGD', 'ATP6V1B1', 'LAMTOR2', 'SLC38A9']",LAMTOR1
DUSP26,['HSF4'],DUSP26
SYNGR3,['GLP1R'],SYNGR3
NUP50,"['KPNA4', 'NUP153', 'KPNA6', 'LMNA', 'KPNA5', 'PPP1CC', 'CUL3', 'KPNA2', 'NUP107', 'KPNA1', 'KPNB1', 'CDKN1B']",NUP50
DHRS4,['PEX5'],DHRS4
GJB2,['FBXO2'],GJB2
SHMT1,"['FAM175B', 'SHMT2']",SHMT1
HDAC1,"['NOTCH1', 'CCT8', 'PHF21A', 'ARID4B', 'C11orf30', 'GATAD2A', 'HR', 'MAGEB2', 'HIST3H2BB', 'TFAP4', 'EZH2', 'SMARCA2', 'CDKN2A', 'PML', 'DNMT3L', 'ARID4A', 'SUV39H1', 'TOP2B', 'TOP2A', 'MORF4L1', 'RCOR3', 'CREM', 'SSX2', 'RBL2', 'NKX3-2', 'HSPD1', 'EED', 'NR1D2', 'CHFR', 'MBD2', 'CTBP1', 'HDAC9', 'SMARCA5', 'NR3C1', 'CCT7', 'FOXK1', 'RCOR2', 'PWWP2A', 'BCL11B', 'PRKACA', 'HMG20B', 'MBD4', 'GATAD2B', 'UBTF', 'FAM60A', 'RUNX1T1', 'HNRNPD', 'CCDC6', 'RFX1', 'CHD4', 'BAHD1', 'WHSC1', 'MECOM', 'CHD3', 'PHB', 'TRIM27', 'SFMBT1', 'SERPINB5', 'OVOL1', 'KMT2A', 'MIER3', 'NCOR2', 'KPNA4', 'HBP1', 'ZNF395', 'CDC20', 'RB1', 'BRMS1', 'KLF1', 'AR', 'KDM5B', 'PPARG', 'DNTTIP1', 'HIST1H4A', 'TCP1', 'RBBP7', 'CTNNB1', 'DDX5', 'NONO', 'ZNF521', 'HUS1', 'TRIM28', 'ZBTB16', 'SS18', 'L3MBTL2', 'NFE4', 'SPI1', 'ZNF592', 'BUB1', 'HDGF', 'BAZ2A', 'EHMT1', 'EP300', 'PPP1CA', 'SAP130', 'SNAI1', 'E2F6', 'YAP1', 'GATAD1', 'VHL', 'SMAD7', 'CCT5', 'MTA3', 'TNRC18', 'SMARCA4', 'SIN3B', 'RFC1', 'NUP98', 'RCOR1', 'MECP2', 'UHRF2', 'KDM1A', 'BHLHE41', 'MYC', 'SOX6', 'SIN3A', 'SPEN', 'CREB1', 'CCNB1', 'CDH1', 'CSNK2A1', 'CDKN1A', 'PCNA', 'HSF1', 'TP73', 'RUVBL2', 'GSE1', 'DAXX', 'RERE', 'BUB1B', 'NFKB1', 'ZNF516', 'H2AFY', 'DDB2', 'ZNF609', 'MAD1L1', 'SMAD3', 'TRERF1', 'BRMS1L', 'ZNF687', 'SP1', 'SMARCAD1', 'MTA2', 'DDB1', 'TP53', 'C16orf87', 'ELMSAN1', 'ATM', 'NR2C1', 'BAHCC1', 'MIER2', 'CCT2', 'FOXK2', 'MYOD1', 'GPS2', 'MBTPS1', 'PPARD', 'MDM2', 'BCL3', 'STAT3', 'CHD5', 'SFPQ', 'CDK2AP1', 'CBFA2T3', 'BUB3', 'HIF1A', 'IKZF1', 'ING2', 'RBBP4', 'E2F1', 'PHF12', 'VPRBP', 'TGIF1', 'SATB1', 'PADI4', 'TFDP1', 'UHRF1', 'ESR1', 'PPP1CC', 'TXNIP', 'BCL6', 'SUDS3', 'ZNF512B', 'HDAC1', 'IRF5', 'E2F4', 'EHMT2', 'CCT3', 'KCTD11', 'CEBPB', 'MBD3', 'ARID5B', 'PARK7', 'DNMT1', 'SAP30L', 'SAP30', 'ZMYM2', 'BANP', 'ZNF217', 'RUNX2', 'RELA', 'RING1', 'MBD3L1', 'TAL1', 'CDYL', 'ING1', 'REST', 'SNAI2', 'BCL11A', 'CREBBP', 'POU2F1', 'PARP1', 'ZNF827', 'APPL1', 'HIST1H2BA', 'RUNX1', 'FRA10F', 'HDAC2', 'CEBPA', 'WDR5', 'HIST3H3', 'DDX17', 'ZMYM3', 'PCGF6', 'CUL4B', 'ZBTB2', 'DNMT3B', 'HCFC1', 'DMAP1', 'YY1', 'ATF3', 'DNMT3A', 'ZBTB7A', 'DDIT3', 'RBL1', 'CEBPD', 'ENO1', 'HMG20A', 'ADNP', 'PRDM1', 'SMAD2', 'PPP2R1B', 'MIER1', 'E4F1', 'PHB2', 'MTA1', 'CCND1', 'PFDN5', 'HIST1H3A', 'REPIN1', 'RNF2', 'KPNA6', 'RREB1', 'KDM5A', 'ZMYND8', 'MORF4L2', 'NKX2-5', 'CCT4', 'HELLS', 'TLE1', 'SUZ12', 'SYK', 'SP3', 'KLF5', 'MGA', 'NR0B2']",HDAC1
SNTA1,"['SCN1A', 'KCNJ4', 'SCN5A', 'GLS', 'UTRN', 'MAPK12', 'DTNA', 'DMD']",SNTA1
VPS16,"['VPS41', 'VPS8', 'STX17', 'VPS11', 'VPS33A', 'UVRAG', 'VPS18']",VPS16
SHH,['SHH'],SHH
MRPS35,"['HNRNPA1', 'MRPS22', 'MRPS18B', 'MRPS31', 'DAP3', 'MRPS5']",MRPS35
AKIRIN2,['SPG21'],AKIRIN2
TTR,"['MT3', 'BAG6', 'SETDB1', 'HSPG2', 'VIM', 'CHD3', 'TTR', 'IKBKAP', 'FEZ1']",TTR
RNF14,"['UBE2D2', 'HNRNPA1', 'AR', 'UBE2E2', 'UBE2D1', 'TAGLN', 'UBE2D4', 'UBE2E1', 'UBE2E3', 'HNF1A']",RNF14
ZNF446,"['ZNF396', 'ZSCAN9', 'ZSCAN32', 'ZNF496', 'ZSCAN16', 'ZNF24', 'ZNF232', 'ZNF263', 'ZNF397', 'ZNF165', 'ZKSCAN4', 'PGBD1']",ZNF446
FAM83D,"['DYNC1I1', 'BACH1', 'CSNK1E', 'CSNK1A1']",FAM83D
IDH3A,"['SUCLA2', 'IDH3G']",IDH3A
PNMAL1,['PNMA1'],PNMAL1
PROM1,"['PIK3R1', 'TSG101']",PROM1
UVRAG,"['PIK3C3', 'BECN1', 'VPS11', 'VPS33A', 'KIAA0226', 'VPS18', 'VPS16']",UVRAG
NGB,['AKT1'],NGB
ELL2,"['MLLT3', 'EAF2', 'AFF4', 'MLLT1', 'AFF1', 'CDK9', 'EAF1']",ELL2
RRP9,"['KIAA0020', 'PWP2']",RRP9
BRAF,"['MAP2K2', 'RPS6KB2', 'YWHAB', 'RAP1A', 'SFN', 'YWHAG', 'YWHAE', 'YWHAH', 'RAF1', 'IQGAP1', 'AKT1', 'HRAS', 'KRAS', 'HSPA5', 'BRAF', 'MAP2K1', 'ARAF', 'HSP90AA1', 'HSPA8', 'NRAS', 'HSPA9', 'CDC37', 'SPRY2', 'HSPA1A', 'YWHAZ', 'HSP90AB1', 'MAPK1', 'YWHAQ']",BRAF
RPA2,"['CDK7', 'ATR', 'ATRIP', 'BLM', 'XRCC1', 'RPA1', 'XPA', 'HNRNPF', 'APITD1', 'PARP1', 'HNRNPUL1', 'TP53BP1', 'HLTF', 'XRCC6', 'ZUFSP', 'MCM3', 'DDX1', 'STRA13', 'SMARCAL1', 'HERC2', 'RPA3', 'WRN', 'RBM14', 'STAT3', 'PRIM1', 'FBXO18', 'CDC5L', 'PRPF19', 'CHD1L', 'EEF1A1', 'RFWD3', 'NKX2-1', 'PRKDC', 'SERTAD3', 'TOP3A', 'UNG', 'RPA4', 'LIG3', 'MEN1', 'GAPDH']",RPA2
TEX37,"['RBPMS', 'TRIP13']",TEX37
PTPN21,"['YAP1', 'WWC1', 'KIF1C', 'BMX', 'TRIP6', 'WWC2']",PTPN21
RIT2,['POU4F1'],RIT2
HGF,['MET'],HGF
TRMT2B,['PPTC7'],TRMT2B
MTUS1,['AGTR2'],MTUS1
TRAPPC6B,"['TRAPPC3', 'TRAPPC2', 'TRAPPC12']",TRAPPC6B
VPS33B,"['TNIP1', 'VIPAS39']",VPS33B
AGXT,['BMI1'],AGXT
SEC23B,"['SEC31A', 'SEC24C', 'SEC24B', 'SEC24D']",SEC23B
KRTAP10-3,"['WT1', 'MOBP', 'SDC3']",KRTAP10-3
CHCHD10,"['CLPX', 'C1QBP']",CHCHD10
DNM1L,"['SSB', 'FZR1', 'MARCH5', 'PARK2', 'PPIA', 'FIS1', 'GSK3B']",DNM1L
SDSL,['SDSL'],SDSL
IRF3,"['TRAF3', 'IRF7', 'MAVS', 'TRIM26', 'IKBKE', 'TBK1', 'DDX58', 'RB1', 'TOMM70A', 'SGTA', 'MAPK8', 'RBL1', 'TMEM173', 'TRIM21', 'HSP90AA1', 'IRF3', 'CREBBP', 'HERC5', 'EP300']",IRF3
MED23,"['MED14', 'MED12', 'RB1', 'MED9', 'ZNF516', 'CREBBP', 'CDK19', 'MED30', 'MED6', 'CDK8', 'MED17', 'ELF3', 'SREBF1', 'MED15', 'EP300', 'RBPJ', 'MED28', 'CCNC', 'MED21', 'MED16', 'MED10', 'MED29', 'MED1', 'MED22', 'MED24', 'MED20', 'MED25', 'ESR1', 'MED4', 'CEBPB', 'MED19', 'MED18', 'SPEN', 'FBRS']",MED23
CDK12,"['CCNK', 'EWSR1', 'PRPF40A', 'CDK9', 'CDK13']",CDK12
TRO,['ERBB4'],TRO
C4BPB,['PROS1'],C4BPB
FER,"['CDC37', 'EGFR', 'CTTN', 'TMF1', 'FER']",FER
CTSA,['NEU1'],CTSA
SCAPER,['CCNA2'],SCAPER
RELL2,['OXSR1'],RELL2
BCL2A1,"['BCL2L11', 'BID', 'BIK', 'BAD', 'BAX']",BCL2A1
CAPRIN1,['G3BP1'],CAPRIN1
PRKACG,['RYR2'],PRKACG
TRIM2,"['UBE2D1', 'SIRPA']",TRIM2
POU4F1,"['EWSR1', 'ESR1', 'RIT2']",POU4F1
CCS,"['SOD1', 'APBA1']",CCS
SERGEF,"['EXOC2', 'KDM1A', 'PRMT6']",SERGEF
NR3C1,"['NCOR2', 'CREB1', 'MED14', 'FKBP4', 'NR2F2', 'SMAD3', 'DAXX', 'RELA', 'FKBP5', 'NFKB1', 'CREBBP', 'NR3C2', 'TSG101', 'POU2F1', 'TRIM28', 'NCOA2', 'HDAC6', 'STUB1', 'TP53', 'NR0B1', 'YWHAH', 'POU2F2', 'DAP3', 'TXN2', 'EP300', 'EGFR', 'NCOA1', 'NR3C1', 'UBE2L3', 'PPARGC1A', 'SMARCC1', 'NCOA6', 'RBM14', 'MED1', 'STAT3', 'HSP90AA1', 'RANBP9', 'DCAF6', 'SMARCA4', 'SMARCD1', 'NRIP1', 'NCOR1', 'HDAC1', 'CEBPB', 'SET', 'BAG1', 'TXN', 'NCOA3']",NR3C1
USP10,"['MSH2', 'CFTR', 'PPP6R1', 'PTEN', 'PRKAA1', 'PABPC1', 'EIF4G1', 'ZC3H12A', 'AR', 'TP53', 'G3BP1', 'UBC', 'IKBKG', 'G3BP2', 'ANKRD28', 'RNF168', 'PRKAA2']",USP10
TSR2,['RPS26'],TSR2
ASB4,"['ID2', 'HIF1AN', 'DNAJB5', 'ASB7', 'CUL4A', 'CUL5']",ASB4
PSPH,['PSPH'],PSPH
CACNB1,['NEDD4L'],CACNB1
TNFSF13B,"['TNFRSF17', 'TNFRSF13C', 'TNFRSF13B']",TNFSF13B
GATAD2B,"['RBBP4', 'PRKAB2', 'MBD2', 'CHD4', 'HDAC2', 'MTA2', 'CHD3', 'HDAC1', 'MTA3', 'CHD5', 'RBBP7', 'CDK2AP1', 'MBD3', 'MTA1']",GATAD2B
FSHR,"['APPL1', 'YWHAQ']",FSHR
PPA2,"['SOCS6', 'BAG3']",PPA2
CHRNA1,['CHRND'],CHRNA1
