Genes,Interactors,Norm_Symbol
CEP76,"['CEP97', 'FAM90A1', 'SALL2', 'RPL9', 'BANP', 'CEP290', 'CCP110']",CEP76
DEFB4A,['KCNA3'],DEFB4A
ARHGAP22,['CACNA1A'],ARHGAP22
ASH2L,"['WDR82', 'HCFC2', 'DPY30', 'KMT2C', 'ASH2L', 'CTNNB1', 'BRCA1', 'CHD8', 'RBBP5', 'CHD7', 'PAXIP1', 'KDM4B', 'TP53', 'WDR5', 'HIST3H3', 'EP300', 'HCFC1', 'PYGO2', 'SETD1A', 'USF1', 'NCOA6', 'KDM6A', 'KMT2D', 'SETD1B', 'CXXC1', 'ESR1', 'KMT2B', 'MEN1', 'KMT2A']",ASH2L
RNASEH2B,"['RNASEH2A', 'RNASEH2C']",RNASEH2B
HNRNPF,"['HNRNPA0', 'HNRNPH3', 'RPA2', 'HNRNPUL1', 'ZNF689', 'HNRNPA1', 'ERG', 'RBFOX2', 'TRIM25', 'U2AF2', 'DDX5', 'HNRNPD', 'HNRNPM', 'HNRNPH1']",HNRNPF
ZYG11B,"['PTCH1', 'CUL2']",ZYG11B
TSN,"['GIT2', 'PPP1R15A', 'TSNAX']",TSN
JUND,"['FOSL2', 'ATF3', 'MAPK8', 'DDIT3', 'FOS', 'MAPK9', 'COPS5', 'MEN1', 'BRCA1', 'RFWD2', 'EP300']",JUND
PIGA,"['PIGP', 'PIGQ']",PIGA
DUSP19,"['MAP2K7', 'ACTBL2', 'ALAS1']",DUSP19
GTF2B,"['GTF2H4', 'TBP', 'GTF2E1', 'GTF2E2', 'POLR2E', 'TCEA1', 'RELA', 'GTF2F1', 'GTF2F2', 'TAF11', 'CREBBP', 'TAF9', 'POLR2A', 'POLR2J']",GTF2B
RP9,"['CIR1', 'U2AF1']",RP9
PSME3,"['CLK3', 'KLF2', 'FAM192A', 'BAP1', 'CDKN1A', 'PSMD14', 'TBXA2R', 'RSRP1', 'PML', 'PRKAB2', 'EAF2', 'PSMA5', 'FBXO7', 'TP53', 'DIEXF', 'SMURF1', 'SIRT1', 'PIAS1', 'CBX2', 'PARD3', 'CHEK2', 'AICDA', 'PSME3', 'MDM2', 'PSMB3', 'FBXL12', 'COIL', 'EAF1', 'SSH3', 'BBS2', 'PSMA1', 'ZCCHC10', 'NCOA3']",PSME3
STAR,"['MAGEA11', 'CCHCR1', 'MAPK3']",STAR
MYO1E,"['MOV10', 'MYH9']",MYO1E
PRMT1,"['HNRNPK', 'OFCC1', 'SPSB2', 'SYNCRIP', 'EWSR1', 'CHTOP', 'HIST1H4A', 'RELA', 'TRIM48', 'STAT5A', 'FAM9A', 'BTG2', 'BRCA1', 'RNF187', 'HABP4', 'CIRBP', 'DGCR8', 'RUNX1', 'FBXL17', 'FBXO7', 'UBAP2L', 'SUPT5H', 'CNOT8', 'HIST2H4A', 'SIRT1', 'EP300', 'TERF2', 'TAF15', 'FUS', 'YY1', 'FBL', 'DCAF8', 'ILF3', 'USF1', 'VHL', 'IFNAR1', 'RBM15', 'AXIN1', 'HNRNPR', 'PRMT1', 'SPSB1', 'DHX9', 'NRIP1', 'HNRNPA1', 'KHDRBS1', 'BTG1', 'PRMT8', 'MYCN', 'SMURF2', 'HNF4A', 'STAT1']",PRMT1
WDR59,"['MIOS', 'DEPDC5', 'WDR24', 'GATSL3', 'NPRL2', 'SEC13', 'SESN2', 'SEH1L']",WDR59
RNF216,"['TRAF3', 'ARC', 'UBE2L3', 'KIR2DL4', 'RIPK1']",RNF216
EIF2S1,"['EIF2AK2', 'EIF2S2', 'SFN', 'EIF2S3']",EIF2S1
ENY2,"['ATXN7L3', 'ATXN7L3B', 'USP22']",ENY2
PDE6B,['PPP1CC'],PDE6B
TBC1D25,"['GABARAPL2', 'MAP1LC3B', 'GABARAP', 'GABARAPL1', 'MAP1LC3A']",TBC1D25
KIAA0907,"['PRPF19', 'PUF60', 'RBM39']",KIAA0907
WASF3,"['EGFR', 'CYFIP2']",WASF3
SSR3,['DDOST'],SSR3
BRD8,"['RXRA', 'THRB', 'MRGBP', 'DMAP1', 'MAX', 'KAT5', 'MBTD1', 'MORF4L1', 'RUVBL2', 'ING3', 'MORF4L2', 'FOXR1', 'YEATS4', 'EPC1']",BRD8
EYA1,"['SIX2', 'FBXW7', 'MYC', 'GSK3B', 'H2AFX', 'SIX1']",EYA1
C6,['C5'],C6
MEN1,"['KMT2A', 'DAXX', 'RELA', 'ASH2L', 'HSPA4', 'CTNNB1', 'NFKB1', 'RBBP5', 'JUND', 'MYH9', 'WDR5', 'HIST3H3', 'SNW1', 'IQGAP1', 'FANCD2', 'RPA2', 'VIM', 'KMT2D', 'TCF7L2', 'HIST1H3A', 'TCF3', 'ESR1', 'DBF4', 'MYC', 'FOXN3', 'SIN3A', 'POLR2A', 'GFAP']",MEN1
COPS2,"['THRA', 'CSNK2A1', 'ABCA1', 'CUL2', 'NAP1L1', 'AR', 'UBE2M', 'CUL4A', 'FBXO6', 'PSMC5', 'ING1', 'PSMC1', 'COPS7B', 'MAP3K10', 'COPS6', 'PSMA6', 'VDR', 'DDB2', 'SOCS2', 'NEDD8', 'SENP8', 'DDB1', 'ERCC8', 'NR0B1', 'NIF3L1', 'COPS8', 'CUL4B', 'LRR1', 'DCAF4L2', 'CUL1', 'COPS7A', 'RFWD2', 'EP300', 'COPS3', 'COPS4', 'CUL3', 'ANAPC1', 'COPS5', 'GPS1', 'PSMC3', 'ING2', 'IRF8', 'DCAF11', 'FBXW4', 'SIN3A']",COPS2
POLR2F,"['POLR1A', 'POLR2H', 'POLR3F', 'POLR2E', 'CRCP', 'POLR2C', 'POLR2B', 'POLR3D', 'GPN3', 'POLR2I', 'POLR2G', 'SUPT5H', 'MED1', 'POLR3K', 'POLR2K', 'POLR2A', 'POLR1C']",POLR2F
CDH1,"['CFTR', 'CDH1', 'CBLL1', 'CDC27', 'CTNNB1', 'CDH3', 'FYN', 'JUP', 'CSE1L', 'HDAC2', 'EZR', 'IQGAP1', 'MYO6', 'SRC', 'DDX39B', 'HSPA5', 'PPP1CA', 'EGFR', 'VCL', 'RAD17', 'KRT18', 'SKP2', 'KEAP1', 'MDM2', 'PSEN1', 'CSNK1A1', 'HSPA8', 'NFE2L2', 'NDRG1', 'PIP5K1C', 'HDAC1', 'CTNND1', 'PKP4', 'MAGI1', 'CDC42', 'CTNNA1']",CDH1
MRPS18A,"['MRPL50', 'FBXW11']",MRPS18A
MCM6,"['SF3A1', 'SMC1A', 'MCM6', 'TONSL', 'ASF1A', 'MCM5', 'CDT1', 'MMS22L', 'MCM2', 'HIST1H4A', 'ING5', 'SSRP1', 'ASF1B', 'MCM4', 'MCM10', 'MCM3', 'MCM7', 'MCMBP', 'CDKN2A']",MCM6
LRP5,"['DKK1', 'CAPRIN2', 'AXIN1', 'SOST']",LRP5
BMPR1A,"['BMPR2', 'BMP7', 'BMP4', 'SF3B4', 'USP15', 'NEDD4L', 'SMAD7', 'BMP2', 'BMP6', 'BMPR1A', 'BMPR1B', 'ACVR1', 'HSP90AA1', 'ZMYND11']",BMPR1A
GPATCH8,"['RNPS1', 'CLK3']",GPATCH8
MOB1B,"['LRCH1', 'PPP6R2', 'PPP6C', 'PPP6R1', 'LATS1', 'LATS2', 'STK3', 'LRCH2', 'PPP6R3', 'STK4', 'STK38L', 'DOCK7', 'ANKRD28', 'STK38', 'DOCK6', 'MOB1A']",MOB1B
NAPA,"['STX12', 'STX1A', 'SNAP23', 'NSF', 'STX4', 'STX7', 'VAMP2', 'STX5']",NAPA
MND1,['PSMC3IP'],MND1
KBTBD8,"['TCOF1', 'NOLC1', 'CUL3']",KBTBD8
CDC6,"['PSKH1', 'CCNA2', 'HUWE1', 'ATR', 'FZR1', 'CDKN1A', 'PPP2R3A', 'PPP2R3B', 'MCM2', 'GRWD1', 'CDT1', 'CDK2', 'CCNF', 'MCM3', 'MCM7', 'ORC1', 'ORC2']",CDC6
