Genes,Interactors,Norm_Symbol
FBXL14,"['GPS1', 'COPS2', 'COPS6', 'CUL1', 'DAAM1', 'COPS3', 'DICER1', 'FSTL1', 'KLRAQ1', 'CRYZL1', 'SUGT1', 'AAGAB', 'SEC11C', 'TTC9C', 'ITPR1', 'GNB2', 'SKP1', 'PPM1A', 'SPCS2', 'COPS7A']",FBXL14
RRP1,"['NEUROG3', 'RPL18', 'VSIG1', 'TMEM206', 'VTN', 'CHST8', 'CDH5', 'MAK16', 'CLEC3A', 'CLMP', 'EPHA1', 'KIAA1467', 'PVRL4', 'PNKD', 'SCN2B', 'TNFRSF13B']",RRP1
KLK10,"['UGT1A10', 'CCDC103', 'OR6C70', 'TNFRSF19', 'SUSD3', 'FTH1', 'ITGA9', 'GMCL1', 'L2HGDH', 'TBC1D22B', 'ZSCAN20', 'CDK15', 'EDC3', 'FCF1']",KLK10
ADH1C,"['ADH1B', 'XYLT1']",ADH1C
RAB22A,"['RAB31', 'GDI1']",RAB22A
TTC35,"['FAM158A', 'TMEM85', 'KIAA0090', 'COX4NB', 'C19orf63', 'TRDN', 'TMEM93', 'TMEM111', 'MMGT1', 'C15orf24']",TTC35
FBXO4,"['DEFA1B', 'CUL1', 'AMD1', 'AP1M1', 'ESPL1', 'SKP1', 'AP1B1']",FBXO4
ATP6V0D2,"['TCIRG1', 'ATP6V0D1', 'VMA21', 'ATP6AP2', 'KIAA2013', 'ATP6V0C', 'ATP6V0A1', 'ATP6V0A2', 'CCDC115', 'FKBP15', 'TMEM199']",ATP6V0D2
ATP6V1H,['MAS1'],ATP6V1H
C21orf91,['SCOC'],C21orf91
IL18,"['CCDC53', 'SERPINB4', 'ZNF747', 'CDK15', 'TDGF1']",IL18
DOCK7,"['KLHDC9', 'PIH1D1', 'AVIL', 'DOCK8', 'ZNF785', 'MOBKL1A', 'TGM5', 'IRF3', 'LRCH3', 'PTGER3', 'PRPSAP2', 'ARPC3', 'TMOD3', 'LGALS7']",DOCK7
PPP1R16A,['RABGGTB'],PPP1R16A
CP,"['SNX27', 'GDPD1', 'DDX31']",CP
FAM21B,"['CPLX2', 'TCEANC2', 'DNA2', 'MLF1']",FAM21B
PAN2,"['ASF1B', 'ASF1A']",PAN2
ZNRF1,"['NCEH1', 'NMT2', 'FBXW5', 'TSEN2']",ZNRF1
BRP44,"['TMEM171', 'SLC39A9', 'SLC1A1', 'C17orf101', 'FLOT2', 'ATP2B2']",BRP44
ZNF451,['BATF3'],ZNF451
PLA2G12A,['PXDN'],PLA2G12A
AADAT,['SPACA3'],AADAT
LAMA4,"['LGALS3', 'LGALS8', 'LGALS9', 'PILRA', 'MCAM', 'BCAM']",LAMA4
MAPK15,"['CCT3', 'CCT2', 'NAMPT', 'CCT6B', 'CDK2']",MAPK15
SEPT1,"['MYO18A', 'SEPT11', 'SEPT8', 'SEPT2', 'SEPT10', 'SEPT5', 'ASB7', 'SEPT3', 'SEPT7', 'SEPT4', 'NRD1', 'SEPT9', 'SEPT6']",SEPT1
EIF3H,"['EIF3G', 'EIF3F', 'EIF3M', 'EIF3L', 'EIF3K', 'PRRC2B', 'EIF3B', 'EIF3CL', 'GPBP1L1', 'EIF3D', 'EIF4A1', 'CPNE2', 'EIF3I', 'RSPH9', 'PSMD12', 'EIF3A', 'EIF3E', 'EIF3C']",EIF3H
FAM18B2,"['VSIG4', 'SPPL2B', 'SLC5A8', 'RANBP6', 'IL13RA2', 'SLC15A1', 'HTR2C', 'FUCA2', 'BZW2', 'SLC7A1', 'EDEM2', 'TSPAN5']",FAM18B2
IL1F5,"['UBB', 'SRSF8', 'DDX19B', 'HNRPLL', 'SRC', 'RRAS', 'TBC1D22B', 'CDK15']",IL1F5
C9orf128,"['TSC2', 'SELO', 'ATG13', 'RB1CC1', 'C12orf44', 'EFNB3', 'SMG6']",C9orf128
EREG,"['RAB4A', 'LGALS1', 'TMX4']",EREG
TAF1B,"['MKI67IP', 'TAF1A', 'MECP2', 'TAF1C', 'ZNF2', 'RRP8', 'TAF1D', 'EAF1', 'TRIM44']",TAF1B
PPEF1,['HSPA8'],PPEF1
KCNA10,"['GOLM1', 'REEP1', 'B3GALT6', 'CASP3', 'NAT14', 'LEMD2', 'CHSY1', 'FAM63A', 'EXTL2', 'REEP4', 'CKAP4', 'GAPDHS', 'SLMAP', 'C1orf43', 'KCNAB2', 'SLC12A9']",KCNA10
HSPA2,"['ILK', 'HSPA8', 'FOXRED1', 'FZR1', 'HSPBP1', 'PRODH', 'RNF34', 'FAM73B', 'THAP4', 'TSSK1B', 'TTC30B', 'ABHD15', 'KLHL34', 'VSIG8', 'VWA2', 'THSD4']",HSPA2
ATP6V0A1,"['SLC34A2', 'TMEM185A', 'CD4', 'FZD10', 'TMEM63A', 'SLC35D3', 'ATP6V1B1', 'ATP6V0D1', 'HTR3A', 'MGST3', 'SERINC2', 'HOXB5', 'MUC1', 'KIAA2013', 'RNF19B', 'FAM131B', 'MCAM', 'ATP6V0E1', 'ATP6V0A2', 'LGALS8', 'KIAA1609', 'ATP6V0D2', 'MTUS2', 'ATP6AP2', 'RGS20', 'SMPD3', 'PTGIR', 'BCAM', 'GPR114', 'TMEM199']",ATP6V0A1
PM20D1,"['PDE4DIP', 'NPPA']",PM20D1
EPB41L3,"['CACNG5', 'SNRPN', 'EPB41L2', 'DDAH2', 'C19orf21', 'CYP2S1', 'PRICKLE3']",EPB41L3
GSTA2,"['GSTA3', 'GSTA4', 'ATG4C', 'GSTA5', 'NUSAP1']",GSTA2
TMEM161B,"['LPAR1', 'YIPF3', 'IPPK', 'FPR2', 'APLNR', 'P2RY12']",TMEM161B
ADCY3,"['LGALS3', 'PCDHGA5', 'KCNA5', 'IL17RC', 'CD79B', 'SLC17A2', 'SLC4A8', 'IZUMO1', 'ANKMY2', 'CNGA3', 'ACCN4']",ADCY3
LIN7B,"['MPP2', 'LIN7C', 'MPP5']",LIN7B
GRPR,"['ATL3', 'FAM134A', 'ACVR2B', 'FAR2', 'F2R', 'METTL7B', 'ABCB6', 'FADS1', 'ARV1', 'ATP7B', 'USP30', 'PANX1', 'CBWD3', 'COX1', 'GJC1', 'NDUFAF1', 'DSTYK', 'ADCK1', 'SLC19A2', 'RAP1B', 'MIPEP', 'ATP12A', 'RAB32', 'RAB3B', 'TAP1', 'MFSD5', 'ARL8B', 'MAD2L2', 'GNPAT', 'TTK', 'PTRH2', 'GPR89A', 'C10orf58', 'RAB4A', 'LMBR1', 'ARL5B', 'MTG1', 'TMEM22', 'LMBRD2', 'SLC6A8', 'DHRS7', 'ASPHD2', 'ARF5', 'ATPBD4', 'CDS1', 'GPR50', 'FNDC3A', 'HCCS', 'CDC42BPB', 'MBLAC2', 'BTAF1']",GRPR
WLS,"['WNT7A', 'HTR3A', 'CHRND', 'WNT4', 'GABRA3', 'WNT5A', 'HTR3C', 'WNT16', 'TMED6']",WLS
CLU,"['CELSR1', 'FBXO27', 'INTS5', 'ODZ3', 'HLA-DPA1', 'DDX31', 'CBWD3', 'GNB2', 'MAN1A2', 'EDEM2', 'ARHGAP36', 'LMAN2L', 'KIAA0355', 'ITGA8', 'NLGN2', 'EXTL2', 'MANEA', 'ATP2B2', 'TXNDC11', 'PCYOX1', 'SDK2', 'DHX57', 'PTPRS', 'TNFSF9', 'OCIAD1', 'MTMR9', 'FAT4', 'PTPRF', 'TOR1A', 'MAN1A1', 'RPE', 'PCYOX1L']",CLU
WDR35,"['IFT122', 'TULP3', 'C14orf179', 'TULP2', 'C11orf74', 'DNAJC7']",WDR35
NES,"['GFAP', 'RSPRY1', 'NEFM', 'TCF4', 'VIM', 'MYF6', 'EGR1', 'SYNC', 'CAPN1', 'MYOG', 'FAM167A', 'FERD3L']",NES
KCTD14,['ACSF3'],KCTD14
DDOST,['RPN2'],DDOST
ASAP3,"['ACAD11', 'ASAP2', 'HSPA1A', 'ELP2', 'BACH1', 'ASAP1', 'KIAA1161', 'GOLGA2']",ASAP3
ANGEL1,"['SSH3', 'EIF4E', 'FGFRL1', 'APOBEC3D', 'HTR2C', 'KIAA1683', 'ZNF414', 'CBARA1', 'SCNN1D']",ANGEL1
DET1,"['COPS2', 'FOS', 'ETV1', 'CUL4B', 'TRIB1', 'DDB1', 'COPS7B', 'DDA1', 'UBE2E3', 'UBE2E1', 'COPS4', 'UBE2E2', 'TRIB2', 'GPS1', 'COPS6', 'STK40', 'JUNB', 'FOSL2', 'RFWD2', 'HSPA8', 'COPS3', 'COPS5', 'ETV5', 'CUL4A', 'COPS7A']",DET1
KIAA1737,"['COPS5', 'ZMYM4', 'ARNTL2', 'CLOCK']",KIAA1737
HOOK3,"['C22orf41', 'HOOK1', 'COMTD1', 'MTMR4', 'FNTB', 'NCAPH2', 'ZC4H2', 'KLHL20', 'CDC16', 'TNFSF13B', 'IFT57', 'KLHL10', 'AKTIP', 'RALBP1', 'FAM160A2', 'FAM160A1']",HOOK3
IL17RB,"['RHOBTB3', 'ANKLE2', 'ACVR2B', 'SELO', 'TYW1', 'TMEM63B', 'STIM1', 'RNFT1', 'SLC30A1', 'CISD2', 'BMPR1A', 'RETSAT', 'BTN2A2', 'SLC35F5', 'ATP2A3', 'ST7L', 'PIGQ', 'AMIGO1', 'MFAP3', 'EPHA7', 'HLA-F', 'RNF149']",IL17RB
CELF5,"['PAIP2B', 'CASC3', 'ATXN2', 'TNKS', 'ERI3', 'CELF3', 'ELAVL2', 'IARS2', 'PAIP1', 'SMAP2', 'TNKS2', 'PUM1', 'PUM2']",CELF5
LEPREL2,"['OS9', 'HSPA8', 'IDE', 'PLOD1', 'IDS', 'C1QTNF9', 'KEAP1', 'FASLG', 'COLQ', 'PTPRK', 'SCGB2A2', 'INSL5', 'OLFM4', 'KNG1', 'PLAUR', 'TMEM25', 'C1QB', 'C1QTNF2']",LEPREL2
HSPBP1,"['DGCR14', 'FOXC1', 'QRICH1', 'HSF2', 'HGS', 'TACC3', 'DPH2', 'TAB1', 'ARMC1', 'ELF1', 'GAK', 'HSPA2', 'ZNF503', 'ARFIP1', 'CLTCL1', 'C10orf137', 'GMNN', 'QSER1', 'RUFY1', 'C3orf37', 'ABL2', 'FLYWCH2', 'UBAP2', 'ELF2', 'HSPA6', 'CCDC117', 'HSPA8', 'NEDD1', 'SF1', 'NT5C2', 'C6orf106', 'SF3A3', 'METTL21A', 'HSF1', 'ZNF703', 'DNAJC13', 'MAP3K7', 'C21orf59']",HSPBP1
HLA-H,"['HLA-B', 'HLA-E']",HLA-H
SFMBT1,"['HDAC1', 'HMG20A']",SFMBT1
CHST8,"['SEPN1', 'TMED4', 'CHCHD2', 'C1QBP', 'GALNT12', 'EDEM2', 'RBM27', 'CLSTN1', 'ARL10', 'MRS2', 'FAM3C', 'TXNDC11', 'RBM23', 'JMJD4', 'FRAS1', 'RRP1', 'FSTL1', 'TOR3A', 'B3GALNT2', 'TMED9', 'FBL', 'GAL3ST1', 'CANX', 'LEPREL4', 'TMED2']",CHST8
JUP,"['RAD51AP1', 'CDH8', 'PI4KA', 'C14orf118', 'BRF2', 'GMCL1', 'OAZ3', 'PDE4DIP', 'CCDC51', 'NPPA']",JUP
SNCAIP,['PPP1CC'],SNCAIP
BRPF1,"['MEAF6', 'ARRB1', 'PIP4K2A', 'ARRB2']",BRPF1
GNAL,"['MAGED2', 'FNDC5', 'GNAS', 'CHIA']",GNAL
GRB10,['WDR59'],GRB10
LDB3,"['RHOA', 'HSPA1A', 'NPC2']",LDB3
BPNT1,"['APOL2', 'MTIF2', 'MYO9B', 'CHDH', 'NSUN4', 'PPOX', 'MTO1', 'VARS2', 'TBC1D9B', 'NUDT19', 'SARS2', 'PC', 'LOC81691', 'FEM1B', 'EFHA1', 'TRADD', 'C4orf29', 'AUH', 'WDR60', 'ACSF2', 'NARS2', 'RSAD1', 'POLG', 'CPS1', 'RNASEH2A', 'MYO9A', 'KIAA0391', 'SDR39U1', 'PTPMT1', 'FDXR', 'MCM8', 'LRCH2', 'CDC6', 'GTPBP10', 'MTG1', 'GFM2', 'TUBB3', 'GTPBP5', 'PDPR', 'CTSH', 'TOP3A', 'PDF', 'HSPA8', 'ACAD10', 'LARS2', 'TUBA4A', 'C2orf56', 'NFS1', 'MOCS1']",BPNT1
XAGE1A,"['CELSR1', 'TERF2IP', 'ZC3H11A', 'FZD3', 'MDM2', 'E4F1', 'ZBTB33', 'XAGE1D', 'WDR45', 'VPRBP', 'CABIN1', 'SRRM2', 'ZNF446', 'DCHS1', 'GPR98', 'FREM2', 'PCDH7', 'CELSR2', 'PCDHGC3', 'ZNF511', 'ZMYM1', 'CBWD1', 'FRAS1', 'CELSR3', 'HIRA', 'FAT3', 'CHD8', 'FAT1', 'PRKRIR', 'TERF2', 'FAT4', 'ZNF574', 'HSPA14', 'ZBTB10', 'ZNF496', 'TUBB3']",XAGE1A
HTATSF1,"['TCEANC2', 'SNRPF', 'SNRPN', 'RBM7', 'SNRPG', 'SNRPE', 'SNRPA1']",HTATSF1
SPTY2D1,"['MKI67IP', 'RPL18', 'SART3', 'NPM1', 'RPS14', 'DGCR8', 'RBM34', 'ZNF692', 'PLEKHO1', 'RRP8', 'ZRSR2', 'MAGEB10', 'GPATCH4', 'H2AFY2', 'KBTBD7']",SPTY2D1
VPS28,"['SLC25A41', 'HAUS8', 'STXBP4', 'FAM125B', 'CASC5', 'TSG101', 'DCAF6', 'AKAP11', 'FAM108A1', 'C22orf23', 'VPS37A', 'GRB2', 'UBAP1', 'UBE2U', 'COQ3', 'SCN2B', 'RGPD5', 'SETX', 'PCP2', 'VPS37B', 'VPS37D', 'ARRDC1', 'FAM125A']",VPS28
MAGED2,"['NAP1L4', 'C1QBP', 'GNAS', 'GNAL', 'RIC8B']",MAGED2
SPINK7,"['UBB', 'IDE', 'ZER1', 'C20orf11', 'BIRC2', 'LYPD1', 'SMPX', 'ARMC8']",SPINK7
EFTUD2,"['CD2BP2', 'TSSC4', 'SNRPF', 'SNRPN', 'SNRPG', 'SNRNP40', 'DDX23', 'SNRPE', 'EAPP', 'C20orf4']",EFTUD2
C1orf111,"['GAPVD1', 'C2orf60', 'HLCS', 'SNX24', 'MGLL', 'CSNK1A1', 'MDM4']",C1orf111
SUN2,"['PIP4K2C', 'CHMP6', 'FBXL4', 'PIP4K2B', 'COPS7B', 'GOLGA7B', 'GLTSCR2', 'FKBP14', 'FBXW11', 'MPPE1', 'ACADS', 'DHRS4', 'PIP4K2A', 'PIK3CA', 'TJP1', 'POTEF', 'CSGALNACT2', 'CAV3', 'RAB5A', 'METAP2', 'UGP2', 'BTRC', 'PCDHB7', 'SCARA3', 'ZNRF4', 'LMNA', 'RAB5C']",SUN2
RBM34,"['MKI67IP', 'DDX56', 'FTSJ3', 'MYBBP1A', 'NOC3L', 'ZNF48', 'C16orf88', 'DDX54', 'RPL26L1', 'IMP4', 'KIAA0020', 'RPL3', 'WDR46', 'RBM4', 'RRS1', 'RPL6', 'NVL', 'PRR11', 'PDGFB', 'CCDC59', 'CCDC137', 'RPS13', 'SPTY2D1', 'PRPF4B', 'NOC2L', 'RPL36AL', 'RPL10A', 'CNBP', 'NOL12', 'CENPI', 'RPLP0', 'GPATCH4', 'HIST1H2AG', 'HIST2H2BF', 'ZNF777', 'DKC1', 'PRDM5', 'GNL2', 'ZNF2', 'TTF1', 'URB1', 'RPL7L1', 'ZNF512', 'DDX31', 'HIST1H1E', 'DDX51', 'DDX27', 'GTPBP4', 'MLF1IP', 'TAF1D', 'RPL14', 'RPL5', 'TAF1A', 'RPL13', 'CENPC1', 'ZNF768', 'GLYR1', 'DDX21', 'RSBN1L', 'DDX50', 'RRP8', 'ZBTB48', 'SRP68', 'NPM1', 'RPL37A', 'RPL30', 'RBM28', 'RPL7A', 'MAK16', 'PRKRA', 'ZNF692', 'BRIX1', 'URB2', 'PAK1IP1', 'RPLP2', 'RPL35A', 'ZNF498', 'DDX10', 'RPL18', 'RPS8', 'RPF2', 'PPAN-P2RY11', 'RPL8', 'ZC3H3', 'REXO4', 'DHX30', 'GLTSCR2', 'NSA2', 'HIST2H2AB', 'NOP2', 'TAF1C', 'RPL32', 'STAU1', 'RSBN1', 'H2AFY2', 'NOP10', 'RPL13A', 'RPL15', 'RPS3A', 'RPL28', 'HIST1H1A', 'CEBPZ', 'RPL18A', 'SDAD1', 'ZFP62', 'ZC3HAV1', 'SRRM1']",RBM34
PHYHIP,"['LIMD1', 'TRIP6', 'ANKRD12', 'CA10', 'PAQR5', 'PTRH2', 'FAM70B', 'KIF15', 'PRKD2']",PHYHIP
HS6ST1,"['CHRNA9', 'NRG1', 'CRP', 'B3GNT3', 'INSL5', 'DEFA1', 'DEFA5', 'FAM19A4']",HS6ST1
BHMT,"['BHMT2', 'MTMR6']",BHMT
NOC2L,"['FGF3', 'RPL18', 'NPM1', 'RPS14', 'FGF8', 'SCN3B', 'MAK16', 'RBM34', 'MECP2', 'PLEKHO1', 'CPNE2', 'ZNF512', 'RRP8', 'MAGEB10', 'PDGFB', 'RPL18A']",NOC2L
SLC41A3,"['NMUR2', 'SLC17A2', 'ZACN', 'HTR3A']",SLC41A3
THOC4,"['PRMT8', 'SFPQ']",THOC4
EHBP1,['IFT57'],EHBP1
ZCCHC3,"['MKI67IP', 'U2AF2', 'ILF2', 'GSPT2', 'GNB2L1', 'APOBEC3D', 'WDR46', 'PAIP1', 'ZC3H18', 'CDX1', 'ELAVL2']",ZCCHC3
ACTR8,"['UCHL5', 'BCL7C', 'RUVBL1', 'BCL7A', 'DCAF10', 'RUVBL2', 'AMY1C']",ACTR8
CIDEB,['FAM125A'],CIDEB
NT5E,"['USP3', 'SLC44A1', 'RHOG', 'SLC16A2', 'GJA1', 'CYP2S1', 'XPO7', 'RPTOR', 'USP36', 'SLC26A6', 'ARL8A', 'NR2F2', 'VANGL2', 'USP22', 'GLMN', 'FLVCR1', 'SCAMP1', 'PDS5A', 'HSDL1', 'SAR1B', 'ARL2', 'RAB9A', 'MTOR', 'TMEM192', 'ADIPOR1', 'HEATR2', 'SLC6A8', 'ARF5', 'CXCR4', 'SLC7A2', 'STEAP3', 'RDH13', 'SLC47A1']",NT5E
NOX1,"['RHBDD1', 'PPP2R3B']",NOX1
C2orf7,"['DEFA5', 'DEFA1', 'A2M', 'WDYHV1']",C2orf7
TMEM11,"['TMPRSS11A', 'SLC7A1', 'LRRC32', 'ST8SIA3', 'IMPDH1', 'MAS1', 'P2RY8', 'SLC39A12', 'CD4', 'BNIP3', 'SLC5A8', 'SDC2', 'NTRK3', 'IPPK', 'AGTR1', 'SLC2A12', 'LPAR1', 'BCAM', 'ADORA3']",TMEM11
WRB,"['MCOLN3', 'SLC22A9', 'ITGB8', 'SLC39A12', 'ERGIC3', 'ASNA1']",WRB
EFNA1,['FAM59A'],EFNA1
NEK4,"['TXNDC15', 'C4BPB', 'SDF4', 'C1orf85', 'SLC18A1', 'PCDHGB1', 'HLA-E', 'PCDHA12', 'HLA-C', 'PLAUR', 'CBWD1', 'CTDSP2', 'SKAP1', 'LAMP3', 'CD79A', 'ISLR', 'PCDHB11', 'PRKAB1', 'SPACA1']",NEK4
PDE10A,['CSN1S1'],PDE10A
ASPH,"['LYZL2', 'TMEM160', 'SERPINA12', 'LRRC59', 'CCDC109A', 'ACAD9', 'NDUFAF1', 'FAM162A', 'FBLN7', 'ECSIT', 'HLA-E', 'HTR2C', 'NELL2', 'BCHE', 'VTI1B', 'OLFM1', 'CD93', 'STX4', 'PVRL3', 'WDYHV1', 'PTCH1', 'BNIP1', 'TMEM192', 'C22orf32', 'STX8', 'STXBP3', 'EXD2', 'CCDC109B', 'LEMD2', 'STEAP3']",ASPH
SLX1B,"['ERCC1', 'SLX1A']",SLX1B
C2orf54,['NIPSNAP3A'],C2orf54
ODF3L1,"['C9orf41', 'STAMBP']",ODF3L1
RFPL4A,"['RFPL4B', 'FAM90A1']",RFPL4A
ESYT1,"['KCNC4', 'TSPAN11', 'UGT1A9', 'SCGN']",ESYT1
STBD1,"['GYG2', 'GYS1', 'GYS2', 'PPP1R3C', 'KLRG2', 'EPM2A', 'AGL', 'PYGB', 'GBE1', 'WDFY1', 'GABARAPL1', 'PPP1R3D', 'PRKAB2', 'AMY1C', 'GABARAP', 'MID1', 'GYG1']",STBD1
TWISTNB,"['SLC13A2', 'POLR1B', 'POLR1A', 'NOLC1', 'RRN3', 'POLR1C', 'TGM5', 'ZNF23']",TWISTNB
SEC14L3,"['SEC14L4', 'SEC14L2']",SEC14L3
SMEK1,"['PPP2R4', 'FAM19A3', 'PMPCB', 'TSSC4', 'ADCYAP1', 'CCDC6', 'PPP4R2', 'SNRNP27', 'ZNF785', 'PPP4C', 'CCDC120', 'SMEK2', 'ALKBH3', 'CRAMP1L', 'MARCKSL1', 'PPME1', 'RHPN1', 'USP10']",SMEK1
SEC23IP,"['C6orf141', 'DDHD2', 'SEC31A', 'GPX7', 'PRMT6', 'TRIM32', 'RABL2A', 'SNRNP27', 'LYPD4', 'ARHGAP25', 'KIAA1683', 'NAAA']",SEC23IP
ARL2,"['NT5E', 'CCDC104', 'PTPDC1', 'TUBB2B', 'TUBB', 'TUBB2A', 'ALPI', 'DKFZp686O24166']",ARL2
HBA2,"['SLC2A14', 'NUFIP1', 'TNFSF8', 'MSL2', 'HLA-DPA1', 'HIST1H2BJ', 'AGA', 'PLXNB1', 'GADD45B', 'GSTT1', 'C20orf7', 'MAPK6', 'FCGRT', 'MANSC1', 'PGPEP1', 'MACROD1', 'FCGR1A', 'HSPA8', 'NXPH2', 'UGT2A3', 'PNKP', 'IGSF8', 'UPF3A', 'GBP2', 'GDPD1']",HBA2
MRPL20,"['RPL18', 'MRPL12', 'MRPL41', 'MRPL47', 'PEX19', 'MRPL10', 'MRPL4', 'MRPL43', 'MRPL39', 'MRPL21', 'CASQ2', 'MRPS30', 'MRPL42', 'MRPL50', 'MRPL35', 'RHOT2']",MRPL20
FBXL15,"['SKP1', 'ARIH1', 'CUL1']",FBXL15
FGF10,"['SIRT1', 'ITIH2', 'RPL26L1', 'HIST1H1A']",FGF10
NEDD9,"['KLHL18', 'BCAR3', 'RHEB']",NEDD9
ZNF76,"['ZBTB1', 'GRHL1']",ZNF76
SIAE,"['HLA-B', 'LNPEP', 'PLTP', 'CTSF', 'CNTNAP3', 'OAF', 'COCH', 'MAN2B2', 'ODZ3', 'DCBLD2', 'GALNS', 'NRP2', 'MANEAL', 'NDST2', 'KIAA1161', 'COL18A1', 'TMEM2', 'CPE', 'TCTN1', 'ARSB', 'NAGLU', 'LAMB2', 'MBTPS1', 'TGFBR3', 'NPTX1', 'CHSY3', 'GDF11', 'POC1A', 'ARSK', 'NAAA']",SIAE
INTS6,"['INTS3', 'SCARA3', 'TBL1Y', 'PROZ', 'OLFM4', 'LRP1', 'CTDSP2', 'BBS7']",INTS6
GXYLT2,"['NEUROG3', 'MGAT4C', 'KLRG2', 'FBL', 'SCGB2A2', 'HLA-DPA1', 'KCNC4', 'CD70']",GXYLT2
FN3KRP,"['DOHH', 'LACRT', 'LTF', 'IGHA1']",FN3KRP
MAPK8IP1,"['ANK2', 'MAPK8', 'ANK3', 'SENP5', 'MAPK8IP2', 'TTLL4', 'MAPK9', 'SETX', 'HOXC8', 'FEM1B', 'MAPK8IP3', 'TUBB3']",MAPK8IP1
SCG3,"['IRGQ', 'CTH', 'MRE11A', 'TPM2']",SCG3
C2orf79,"['P2RY12', 'C6orf89']",C2orf79
EVI5L,"['GPR77', 'FAF2', 'P2RX2', 'EFNB3', 'C19orf75', 'NPY2R', 'FZD10', 'PTH1R', 'SLC18A1', 'PTGER3', 'TSPYL1', 'CLEC2D', 'VIPR2']",EVI5L
ADCK3,"['DOK2', 'GAPDHS']",ADCK3
PITPNA,['S1PR4'],PITPNA
NOL11,"['VAPA', 'CIRH1A', 'CD70', 'ARSI', 'NOL7', 'DOCK5', 'C1D', 'GOLGA4']",NOL11
RPL23,"['DYNC1I1', 'CDH13', 'PCDHGA5', 'PCDHGB1', 'EMILIN1', 'SSSCA1', 'EVL', 'COLEC11', 'HLA-DPA1', 'FSTL4', 'TMEM25', 'LRP1', 'PCDH20', 'PCDHB11', 'TSSC1', 'BCCIP', 'CRP', 'TUBB', 'PCDHA10', 'ANTXR1', 'PCDH12', 'ASGR2', 'FKBP9', 'LOXL3', 'PCDHA12', 'CBWD1', 'AARSD1', 'THBS3', 'CD79A', 'FAM187B', 'EPHA7', 'PCDHB16', 'MUC20', 'PCDHB5', 'PSMC3', 'PCDHAC1', 'TOR1AIP2', 'PCDHAC2', 'PCDHGB4']",RPL23
LONP2,"['PCDHA9', 'OS9', 'PCDHA4', 'IL17A', 'CDC16', 'IL1R2', 'PCDHA12', 'MAP7D2', 'SUCLA2', 'RSPH9', 'TMOD3', 'DKK3']",LONP2
KIAA0284,"['CEP170', 'DEFA5', 'KIF2B', 'CARM1']",KIAA0284
TMED4,"['GORASP2', 'CHST8', 'SPPL2B', 'SCN3B', 'LIPG', 'IL13RA2', 'CDK5RAP3', 'TMED10', 'HTR3C', 'FGF3', 'TMED3', 'TMED2']",TMED4
RHOG,['NT5E'],RHOG
C10orf93,"['DHPS', 'C16orf42', 'GAPDHS', 'ALDH1A3']",C10orf93
DOCK4,"['ARRB1', 'GRB2', 'ERMAP', 'ELMO3', 'STAT1', 'VSIG8', 'ELMO1']",DOCK4
NFKB2,"['REL', 'NFKBIB', 'ALOX5', 'NFKBID', 'DEF6', 'HIF1AN', 'NFKBIA', 'ASB2', 'PADI3', 'RELB']",NFKB2
PDHA1,"['DLD', 'PDK3', 'FOXD4', 'STAT5A', 'PDHB']",PDHA1
HOXD10,['SERPINB4'],HOXD10
NR2F6,"['MPPED2', 'RXRG', 'NR2F2', 'MPPED1', 'APLNR', 'GPR77']",NR2F6
GPC6,"['CAMKV', 'MRPS7', 'GPR183', 'GPC4', 'DLX4']",GPC6
ZWINT,"['C22orf41', 'MTMR6', 'RRBP1', 'PPP1CC', 'STX19', 'LTBR', 'NSL1', 'PCOLCE2', 'PMF1', 'CASC5', 'FAM167A', 'CCDC22', 'SPC25', 'STX11', 'NEU2', 'LYRM4', 'DSN1', 'THBS2', 'MIS12', 'NUF2', 'EXOC1', 'NDC80', 'STX18', 'SPC24', 'NFS1', 'MLF1']",ZWINT
MAGI2,['RHBDL1'],MAGI2
FAM164A,['GATSL3'],FAM164A
KIF5B,"['NUP43', 'EXOC1', 'CCDC101', 'TRAK2', 'KLC1', 'HOMER1', 'TRIP6', 'MAP7D2', 'C19orf46', 'MYCL1', 'AZIN1', 'DTNBP1', 'COG6', 'KPTN']",KIF5B
BCHE,"['SLAMF1', 'COLQ', 'ACTN3', 'FAM120A', 'LTBP1', 'CTAGE5', 'DIAPH3', 'DEFA1', 'KIAA1598', 'TUBA3C', 'ENTPD5', 'MANEAL', 'SCGB1D1', 'ENAH', 'ASPH', 'PALLD', 'NOP10', 'DKC1', 'LOXL1', 'PTPRK', 'FBXO2', 'NHP2', 'NAF1', 'SCGB1D4', 'CPSF7', 'SF1', 'SMR3B', 'WASL']",BCHE
COPG,"['COPG2', 'ATL2', 'COPA', 'COPB2', 'CCDC107', 'ERGIC2', 'FGFRL1', 'COPB1', 'ERGIC3', 'NUDCD1', 'COPE', 'CD74', 'COPZ1', 'PRKCSH', 'KCNJ10', 'ARCN1']",COPG
