Genes,Interactors,Norm_Symbol
MYCL1,"['EP400', 'BRD8', 'CASK', 'RUVBL1', 'DPH1', 'KLC2', 'KIF5C', 'FOXK1', 'DMAP1', 'FAM48A', 'KIF5A', 'TAF5L', 'TAF9', 'JAZF1', 'KIF5B', 'KAT5', 'NAGK', 'EPC2', 'ING3', 'CTU1', 'KLC1', 'MORF4L1', 'KLC3', 'RUVBL2', 'CTU2', 'FBRS', 'SUPT7L', 'MEAF6', 'TRRAP', 'KLC4', 'MBTD1', 'AURKA', 'C20orf20', 'FAM83H', 'HCCS', 'APPBP2', 'YEATS4', 'VPS72', 'EPC1']",MYCL1
MYO5A,"['PPP6R2', 'CREB3', 'OS9', 'CDH5', 'AVIL', 'EID1', 'PEX19', 'FEZ1', 'LRRIQ1', 'TMOD4', 'MYL2', 'DTNBP1', 'FAM160B2', 'UBE2O', 'SCP2', 'TMOD3', 'IL20RA', 'DKK3']",MYO5A
RDM1,"['RUVBL2', 'PI4KB']",RDM1
TBC1D23,"['NPDC1', 'HS2ST1', 'HSPA8', 'SLAMF7', 'FLYWCH2', 'KBTBD7']",TBC1D23
RTKN,['RHOC'],RTKN
TSC2,"['C9orf128', 'CD79B', 'P4HA2', 'TBC1D7', 'C19orf75', 'CD83', 'P4HA3', 'PNKD', 'PRKCSH', 'COL20A1', 'RP2']",TSC2
CDA,"['RNF181', 'CDKN2C', 'MTMR9', 'APBA3', 'LIN7A', 'WIBG', 'MPP6', 'MTMR6', 'MPP2', 'ZMYM6']",CDA
TMTC2,"['PCDHB11', 'PCDHGB1']",TMTC2
MPHOSPH10,"['SART3', 'RRS1', 'RPS2', 'DGCR8', 'RPL37A', 'FGF8', 'ZNF2', 'HIST1H1T', 'ZC3HAV1', 'FGF3']",MPHOSPH10
TP53INP1,"['YEATS2', 'TBC1D4', 'ASPM', 'CSRP2BP', 'ZBTB9']",TP53INP1
TRAF2,"['GPR107', 'TNFRSF8', 'TBK1', 'LYG2', 'ADAMTS4', 'LTBR', 'FBXO28', 'TMEM9B', 'TANK', 'CD27', 'RABGEF1', 'LRRN2', 'FAM19A3', 'GSK3B', 'FBXW7', 'TMEM102', 'TRAF1', 'WDYHV1', 'RAB3IP', 'BIRC2', 'WNT3A', 'DIABLO', 'ZFAND6', 'EDA2R', 'FBXO7', 'ISCA1', 'DNAJB2', 'TRAF6']",TRAF2
ND4,"['LPAR1', 'NDUFA8', 'NDUFS7', 'ECSIT', 'YIPF3', 'NDUFB5', 'NDUFS3', 'FPR2', 'NDUFB11', 'SGK196', 'NDUFA13', 'TACR1', 'VIPR2', 'NDUFS6']",ND4
TAF7L,"['TAF13', 'TAF3', 'C18orf25', 'TAF2', 'TAF9', 'TAF9B', 'TAF6', 'TAF11', 'TAF12', 'TAF4B', 'UTP6', 'TAF4', 'TAF5', 'PSME4', 'TAF10', 'TAF1', 'TAF8']",TAF7L
