Genes,caudate,cerebral cortex,hippocampus,hypothalamus,Norm_Symbol
CCNT1,2,2,2,0,CCNT1
SHTN1,1,1,2,0,SHTN1
KDELR1,0,0,0,0,KDELR1
DNALI1,3,2,2,0,DNALI1
TAPT1,2,2,2,0,TAPT1
MAGEA1,0,0,0,0,MAGEA1
SSX4,2,2,2,0,SSX4
FECH,0,0,0,0,FECH
RMDN3,0,0,0,0,RMDN3
LDLRAD2,0,0,0,0,LDLRAD2
MARK3,0,0,1,0,MARK3
NDUFAF2,0,0,0,0,NDUFAF2
PABPC1L2A,0,0,0,0,PABPC1L2A
FAM160A2,2,1,0,0,FAM160A2
HGSNAT,3,3,2,0,HGSNAT
FCGR3A,3,3,2,0,FCGR3A
DIPK1C,0,2,0,0,DIPK1C
RINT1,0,1,0,0,RINT1
CDHR1,0,0,2,0,CDHR1
SERPINH1,2,1,2,0,SERPINH1
MMAB,0,0,0,0,MMAB
PBX3,0,1,0,0,PBX3
YIPF5,1,0,0,0,YIPF5
PRPF18,2,0,0,0,PRPF18
ITSN2,3,3,2,0,ITSN2
RPL28,0,0,0,0,RPL28
GRB10,3,3,3,0,GRB10
NOP53,1,1,2,0,NOP53
TMEM201,3,3,3,0,TMEM201
SLC39A14,2,3,2,0,SLC39A14
PDGFC,0,1,1,0,PDGFC
AQP2,0,0,0,0,AQP2
KRT20,0,0,0,0,KRT20
KRT27,3,3,3,0,KRT27
ETV4,0,0,0,0,ETV4
SH2D3C,2,3,2,0,SH2D3C
SUFU,0,0,0,0,SUFU
PTGER4,0,1,0,0,PTGER4
FAM136A,0,0,0,0,FAM136A
AFM,0,0,0,0,AFM
PNMA5,1,1,1,0,PNMA5
NDUFA7,2,3,2,0,NDUFA7
LHPP,0,0,0,0,LHPP
NPTN,0,0,1,0,NPTN
IFNAR1,2,2,2,0,IFNAR1
APOA4,2,2,2,0,APOA4
BICDL1,0,0,0,0,BICDL1
VPS41,2,2,2,0,VPS41
PRR16,0,1,0,0,PRR16
ZNF224,1,0,2,0,ZNF224
RNASE2,3,3,3,0,RNASE2
CAD,0,0,0,0,CAD
AVEN,2,2,0,0,AVEN
SELENOM,0,0,0,0,SELENOM
SMS,0,0,0,0,SMS
PLK5,3,3,2,0,PLK5
GLYAT,0,0,1,0,GLYAT
CCDC58,1,0,0,0,CCDC58
PRDX6,2,2,2,0,PRDX6
PRMT1,1,2,2,0,PRMT1
NPHP4,3,2,2,0,NPHP4
SLC22A4,1,1,1,0,SLC22A4
RBMX,1,1,1,0,RBMX
SKAP1,0,0,0,0,SKAP1
PARP10,3,3,3,0,PARP10
CYSRT1,0,0,0,0,CYSRT1
PITPNM3,0,0,0,0,PITPNM3
MTFR1L,0,0,0,0,MTFR1L
MPO,2,2,0,0,MPO
PHPT1,0,1,0,0,PHPT1
SULT1E1,2,0,2,0,SULT1E1
KIF3B,0,0,0,0,KIF3B
NDUFA8,0,0,0,0,NDUFA8
DNAI1,0,0,0,0,DNAI1
ADPGK,3,3,1,0,ADPGK
LGALS9,1,1,1,0,LGALS9
CABCOCO1,2,2,2,0,CABCOCO1
GCC2,0,0,0,0,GCC2
FADS2,2,2,2,0,FADS2
CA13,1,0,1,0,CA13
HPS4,0,0,0,0,HPS4
PDCD1,0,0,0,0,PDCD1
AP4B1,1,2,2,0,AP4B1
ASIC3,2,3,3,0,ASIC3
ISCA2,0,0,0,0,ISCA2
TRANK1,2,2,2,0,TRANK1
CFAP97,1,1,1,0,CFAP97
MNAT1,1,2,2,0,MNAT1
PLCE1,0,0,0,0,PLCE1
JMJD1C,0,0,0,0,JMJD1C
FAM174A,2,2,2,0,FAM174A
CARM1,0,0,0,0,CARM1
CASP7,2,2,1,0,CASP7
NUDT17,1,1,1,0,NUDT17
STIM2,2,2,2,0,STIM2
PHF1,0,0,0,0,PHF1
NKX2-1,1,1,1,0,NKX2-1
MACROD2,2,2,2,0,MACROD2
NPIPB11,1,1,1,0,NPIPB11
CYCS,0,0,0,0,CYCS
RHBDD1,0,0,0,0,RHBDD1
EPB41L2,1,1,1,0,EPB41L2
KDELR2,2,2,2,0,KDELR2
NMT2,2,3,3,0,NMT2
FAM217B,0,0,0,0,FAM217B
DHX32,0,0,0,0,DHX32
VPS4B,1,2,0,0,VPS4B
MYORG,0,1,0,0,MYORG
BCL10,2,2,2,0,BCL10
CFAP298,3,3,3,0,CFAP298
LRRC28,0,0,0,0,LRRC28
PRX,0,0,1,0,PRX
ARHGEF10,2,2,2,0,ARHGEF10
CRCP,1,2,2,0,CRCP
CTNNB1,0,0,0,0,CTNNB1
TTLL1,2,3,3,0,TTLL1
ABHD18,0,0,0,0,ABHD18
DEFA5,0,0,1,0,DEFA5
TANGO6,2,2,2,0,TANGO6
ACOT8,0,0,0,0,ACOT8
NOMO3,1,0,1,0,NOMO3
FAM3D,1,1,1,0,FAM3D
GTF2E2,3,3,3,0,GTF2E2
AC091959.3,2,3,3,0,AC091959.3
MYO9A,0,0,0,0,MYO9A
PARP4,2,2,2,0,PARP4
CAPN1,2,2,2,0,CAPN1
LYN,0,0,0,0,LYN
SECISBP2L,0,0,0,0,SECISBP2L
AFTPH,0,0,0,0,AFTPH
FKRP,1,1,0,0,FKRP
CDK19,0,2,1,0,CDK19
FNDC7,0,0,1,0,FNDC7
RBBP9,2,1,1,0,RBBP9
ACTA1,2,2,1,0,ACTA1
ZC3H8,1,2,2,0,ZC3H8
ANGPTL4,3,3,2,0,ANGPTL4
SNRPG,2,2,1,0,SNRPG
THBS4,0,1,1,0,THBS4
SOGA1,2,3,3,0,SOGA1
CFHR1,1,1,2,0,CFHR1
DSC2,1,0,2,0,DSC2
SFTPA1,3,3,3,0,SFTPA1
CASC1,0,0,0,0,CASC1
RELA,1,2,2,0,RELA
SCAF4,0,0,0,0,SCAF4
MPZL1,0,0,0,0,MPZL1
ANKHD1,2,2,2,0,ANKHD1
CCDC68,1,2,1,0,CCDC68
SEC16A,0,0,0,0,SEC16A
FZD5,2,1,1,0,FZD5
MRPL39,2,1,2,0,MRPL39
ATAD3A,0,0,0,0,ATAD3A
DDRGK1,1,1,0,0,DDRGK1
EDAR,0,1,1,0,EDAR
FUS,0,0,0,0,FUS
ATP12A,0,1,1,0,ATP12A
VCX3B,2,2,2,0,VCX3B
RAB13,2,2,2,0,RAB13
MYH2,1,2,3,0,MYH2
PRCP,0,1,1,0,PRCP
RPS6,0,0,0,0,RPS6
ARF6,0,0,0,0,ARF6
EIF3C,2,2,2,0,EIF3C
CRB1,0,0,0,0,CRB1
SLC44A2,1,2,2,0,SLC44A2
CR1,2,2,2,0,CR1
HIBADH,0,0,1,0,HIBADH
KRT31,2,2,2,0,KRT31
GLT8D2,0,2,1,0,GLT8D2
TNFSF13B,1,3,3,0,TNFSF13B
ERICH5,0,1,0,0,ERICH5
SCRIB,1,1,1,0,SCRIB
DICER1,2,2,2,0,DICER1
RRAGB,3,2,3,0,RRAGB
LIN7C,2,2,1,0,LIN7C
PEX6,3,3,3,0,PEX6
COX8A,0,0,0,0,COX8A
EPS8,2,1,1,0,EPS8
MRM1,0,0,0,0,MRM1
GNB3,0,0,0,0,GNB3
CLU,2,3,1,0,CLU
PDXDC1,0,0,0,0,PDXDC1
SYNCRIP,1,1,1,0,SYNCRIP
TCERG1,0,1,0,0,TCERG1
CD22,1,2,1,0,CD22
RPS6KL1,0,0,0,0,RPS6KL1
NXF1,3,3,3,0,NXF1
PRC1,0,0,0,0,PRC1
PRKX,0,0,1,0,PRKX
ADAM11,1,2,2,0,ADAM11
PAPOLG,1,2,2,0,PAPOLG
GCG,0,1,0,0,GCG
ANPEP,2,2,2,0,ANPEP
NFKBIZ,1,2,1,0,NFKBIZ
TSPAN8,1,3,2,0,TSPAN8
UBE2J1,0,0,0,0,UBE2J1
LARP1B,1,1,2,0,LARP1B
ISY1,2,2,1,0,ISY1
AP4M1,2,3,2,0,AP4M1
SATB2,0,0,0,0,SATB2
MTUS2,2,3,3,0,MTUS2
IL2RA,1,0,0,0,IL2RA
ZNF514,0,0,0,0,ZNF514
KRIT1,0,0,0,0,KRIT1
TJAP1,0,0,0,0,TJAP1
METTL18,0,0,0,0,METTL18
LOC730098,0,0,0,0,LOC730098
SLC4A5,0,0,0,0,SLC4A5
RAVER2,0,0,0,0,RAVER2
HSF5,1,1,1,0,HSF5
C3AR1,1,1,2,0,C3AR1
PHF24,0,0,1,0,PHF24
ACP5,2,2,2,0,ACP5
PIANP,1,1,1,0,PIANP
RFXANK,1,1,1,0,RFXANK
GRIPAP1,2,2,1,0,GRIPAP1
DCTD,3,3,3,0,DCTD
PAGE1,0,0,0,0,PAGE1
MARCHF2,2,2,2,0,MARCHF2
PKP2,0,1,1,0,PKP2
CDH13,0,0,0,0,CDH13
IRF4,0,0,0,0,IRF4
SAP30,2,3,3,0,SAP30
EML4,0,0,0,0,EML4
FZD3,2,2,3,0,FZD3
POLA2,2,2,1,0,POLA2
UQCRHL,2,3,1,0,UQCRHL
TBX21,0,0,0,0,TBX21
MS4A2,3,3,3,0,MS4A2
NECAP2,0,0,0,0,NECAP2
RPL17,1,2,2,0,RPL17
GOLGA6A,0,2,0,0,GOLGA6A
AMACR,0,1,0,0,AMACR
H1-0,0,0,0,0,H1-0
GABRG3,0,0,0,0,GABRG3
TFPI,1,2,2,0,TFPI
TLX3,0,0,0,0,TLX3
CLDN1,0,0,0,0,CLDN1
TTC7A,1,1,1,0,TTC7A
GFI1B,2,2,1,0,GFI1B
POM121L12,2,2,2,0,POM121L12
BIVM,0,0,0,0,BIVM
FAM219B,3,3,2,0,FAM219B
MOB1B,3,3,3,0,MOB1B
CBWD2,1,2,2,0,CBWD2
ALK,3,3,2,0,ALK
PRXL2B,0,0,0,0,PRXL2B
GZMH,1,3,2,0,GZMH
ADAR,3,3,3,0,ADAR
RGS14,3,3,3,0,RGS14
H2AC4,0,0,0,0,H2AC4
RNF14,0,0,0,0,RNF14
DHX16,0,0,0,0,DHX16
LCN15,1,1,0,0,LCN15
CEBPE,2,3,3,0,CEBPE
NFKBIA,0,0,0,0,NFKBIA
PTP4A1,1,1,1,0,PTP4A1
RDH13,3,2,2,0,RDH13
NGB,0,0,0,0,NGB
CHST5,1,2,2,0,CHST5
COPB1,2,3,2,0,COPB1
FOXK2,1,1,1,0,FOXK2
CKS1B,0,2,0,0,CKS1B
P4HTM,0,0,0,0,P4HTM
DTX1,0,2,2,0,DTX1
TOMM6,0,0,0,0,TOMM6
H2BC10,1,0,0,0,H2BC10
SAMD9L,2,2,2,0,SAMD9L
CHL1,3,2,3,0,CHL1
ENTPD6,2,2,0,0,ENTPD6
SULT2B1,0,0,0,0,SULT2B1
KRT23,0,0,0,0,KRT23
RFC2,0,0,0,0,RFC2
METAP1,0,3,3,0,METAP1
POPDC2,0,1,0,0,POPDC2
PCDHB5,2,3,3,0,PCDHB5
PEX11B,2,2,1,0,PEX11B
SELPLG,0,0,1,0,SELPLG
DKK3,1,0,0,0,DKK3
NDUFB5,2,2,2,0,NDUFB5
ATP2A1,0,0,0,0,ATP2A1
MTMR14,2,2,2,0,MTMR14
AGPAT1,2,1,2,0,AGPAT1
PUS10,2,2,2,0,PUS10
DCPS,2,1,2,0,DCPS
MAP3K9,2,2,2,0,MAP3K9
PSMG3,1,1,0,0,PSMG3
SNRPA1,1,1,1,0,SNRPA1
CASP9,0,0,1,0,CASP9
GPC1,1,2,1,0,GPC1
CNTNAP4,2,1,2,0,CNTNAP4
RAB32,2,2,2,0,RAB32
PCMTD1,1,0,0,0,PCMTD1
TOP1,0,0,0,0,TOP1
G3BP1,2,2,1,0,G3BP1
LRRC38,0,0,1,0,LRRC38
CSNK2B,1,1,1,0,CSNK2B
LITAF,2,3,3,0,LITAF
TUBG2,2,2,2,0,TUBG2
MAGEA10,0,2,1,0,MAGEA10
TRABD,0,0,0,0,TRABD
WWTR1,0,0,1,0,WWTR1
KCNAB2,3,3,3,0,KCNAB2
ACSS2,1,2,2,2,ACSS2
NDUFA9,2,2,0,0,NDUFA9
MED4,1,2,2,0,MED4
FXYD4,0,0,0,0,FXYD4
CHPF,0,0,0,0,CHPF
CERS2,2,3,2,0,CERS2
INTS6,2,2,1,0,INTS6
UPK3A,2,3,2,0,UPK3A
AMN,3,3,3,0,AMN
SLC19A3,1,2,1,0,SLC19A3
PKD2,1,2,2,0,PKD2
PPA2,2,2,2,0,PPA2
CLIP1,1,2,1,0,CLIP1
CDH5,2,3,3,0,CDH5
SENP6,0,0,0,0,SENP6
TP63,2,2,2,0,TP63
GUCA1B,0,0,0,0,GUCA1B
CD83,1,0,0,0,CD83
C1GALT1,3,3,3,0,C1GALT1
STX18,0,1,0,0,STX18
RFFL,0,0,0,0,RFFL
COL6A1,2,2,2,0,COL6A1
CRABP2,0,0,0,0,CRABP2
LAMC1,2,2,2,0,LAMC1
NOTCH1,0,0,0,0,NOTCH1
GAGE10,2,2,2,0,GAGE10
LYSMD2,0,0,0,0,LYSMD2
RAB28,0,0,0,0,RAB28
TXNDC5,2,2,2,0,TXNDC5
MRPS27,2,2,2,0,MRPS27
GLI2,0,0,0,0,GLI2
MZB1,2,2,2,0,MZB1
MASP2,0,1,1,0,MASP2
MYBBP1A,3,2,2,0,MYBBP1A
GPR182,0,0,0,0,GPR182
RNASET2,1,2,1,0,RNASET2
CT45A1,1,3,1,0,CT45A1
HAT1,2,2,2,0,HAT1
DUSP26,3,3,2,0,DUSP26
NIPSNAP2,0,0,0,0,NIPSNAP2
AZGP1,2,2,2,0,AZGP1
ATP5MF,1,1,1,0,ATP5MF
MMGT1,1,2,0,0,MMGT1
TTLL12,0,0,0,0,TTLL12
FAM156A,1,1,0,0,FAM156A
NCOA3,0,0,0,0,NCOA3
MTCH1,3,3,3,0,MTCH1
RBMY1D,0,0,0,0,RBMY1D
CD276,0,0,0,0,CD276
EMX1,2,3,3,0,EMX1
SLC22A2,1,1,1,0,SLC22A2
KDSR,2,2,2,0,KDSR
PRDM5,2,2,3,0,PRDM5
CCNF,2,2,2,0,CCNF
DLX5,1,0,0,0,DLX5
IL15RA,1,0,1,0,IL15RA
UBE2G1,2,2,1,0,UBE2G1
KCNG2,0,0,0,0,KCNG2
NUP43,3,3,3,0,NUP43
GALNT17,1,2,1,0,GALNT17
RILPL1,0,1,0,0,RILPL1
NEFM,0,0,0,0,NEFM
RTF1,2,2,2,0,RTF1
CERS5,2,3,2,0,CERS5
SLC7A4,2,2,2,0,SLC7A4
COA6,2,2,2,0,COA6
SKA1,2,2,2,0,SKA1
OFD1,3,2,2,0,OFD1
BOLA2,0,0,0,0,BOLA2
MLLT1,2,3,3,0,MLLT1
CEP78,2,2,2,0,CEP78
POLR2H,3,3,2,0,POLR2H
ME1,2,2,2,0,ME1
HMOX2,3,2,2,0,HMOX2
DEFB107B,0,0,0,0,DEFB107B
MRPL21,2,2,2,0,MRPL21
AP1AR,0,0,0,0,AP1AR
MICALL2,3,3,3,0,MICALL2
SLC5A12,0,0,0,0,SLC5A12
RIMBP3,2,2,2,0,RIMBP3
DPP7,2,2,2,0,DPP7
SEC61B,2,3,3,0,SEC61B
FMR1NB,1,1,1,0,FMR1NB
PDYN,3,3,3,0,PDYN
TCF3,1,2,2,0,TCF3
F2,3,2,2,0,F2
RB1CC1,1,2,1,0,RB1CC1
GRINA,1,2,0,0,GRINA
CIDEC,1,2,1,0,CIDEC
SNX21,2,1,1,0,SNX21
MRPS18C,0,0,0,0,MRPS18C
POLR2J,2,2,2,0,POLR2J
SARNP,1,1,2,0,SARNP
PELO,1,1,1,0,PELO
CPS1,0,0,0,0,CPS1
EPN1,0,1,1,0,EPN1
SLC22A8,0,0,0,0,SLC22A8
TGFBR3L,1,2,1,0,TGFBR3L
PDCD4,1,1,0,0,PDCD4
NDUFC2-KCTD14,0,0,0,0,NDUFC2-KCTD14
ZNF511-PRAP1,3,3,3,0,ZNF511-PRAP1
PTGIS,2,1,2,0,PTGIS
COX4I1,1,2,2,0,COX4I1
RBM14,2,2,3,0,RBM14
DPEP3,2,3,2,0,DPEP3
HEATR1,3,2,2,0,HEATR1
BOLL,3,3,3,0,BOLL
PIP,1,1,1,0,PIP
KLK2,2,1,1,0,KLK2
RPL14,0,0,0,0,RPL14
TUBB3,0,0,1,0,TUBB3
TARDBP,0,0,0,0,TARDBP
KRBA1,0,1,1,0,KRBA1
GALR2,0,2,3,0,GALR2
SPINT4,0,0,0,0,SPINT4
TET2,0,0,0,0,TET2
MRPS35,2,3,2,0,MRPS35
PLA2G4E,0,1,0,0,PLA2G4E
LBH,2,3,2,0,LBH
SDC4,0,1,0,0,SDC4
BTN3A1,0,0,0,0,BTN3A1
FBXL14,0,0,0,0,FBXL14
FBXO38,3,3,3,0,FBXO38
LOR,1,0,1,0,LOR
ACAD8,1,1,1,0,ACAD8
VPS52,2,2,2,0,VPS52
SLC1A4,1,2,1,0,SLC1A4
DCUN1D5,3,2,3,0,DCUN1D5
YAF2,1,2,1,0,YAF2
MFAP4,0,0,0,0,MFAP4
RPL7,0,0,0,0,RPL7
CCDC92,0,0,0,0,CCDC92
CLK1,1,1,2,0,CLK1
PIK3CD,0,0,0,0,PIK3CD
RIT2,0,0,0,0,RIT2
CELA3B,3,3,3,0,CELA3B
PDE11A,1,1,0,0,PDE11A
BAZ1B,1,1,0,0,BAZ1B
CDC42,2,3,3,0,CDC42
MTHFS,3,3,3,0,MTHFS
MFN1,0,0,0,0,MFN1
WNT7A,2,3,2,0,WNT7A
PRNP,1,3,2,0,PRNP
ZMYND8,2,2,3,0,ZMYND8
NLRP6,1,1,1,0,NLRP6
AKR1E2,2,2,2,0,AKR1E2
RHOT1,0,0,0,0,RHOT1
CDC42BPB,0,0,0,0,CDC42BPB
ECI1,2,2,2,0,ECI1
CMTM6,0,0,0,0,CMTM6
COA4,1,2,2,0,COA4
CHD1,0,0,0,0,CHD1
SLC39A6,0,2,1,0,SLC39A6
TRIM8,2,1,2,0,TRIM8
RPS4Y1,2,2,2,0,RPS4Y1
STRN4,2,0,2,0,STRN4
B4GALNT2,0,1,2,0,B4GALNT2
BPIFA1,2,2,2,0,BPIFA1
OSER1,2,2,0,0,OSER1
SERINC5,3,3,0,0,SERINC5
NXN,1,1,0,0,NXN
SLC16A4,2,3,2,0,SLC16A4
KLHL10,1,2,1,0,KLHL10
RPS6KA3,0,0,0,0,RPS6KA3
GSTO1,0,1,0,0,GSTO1
SLC23A1,0,0,0,0,SLC23A1
SLC4A10,2,2,2,0,SLC4A10
RAB1A,0,0,0,0,RAB1A
MRPS28,2,2,2,0,MRPS28
FCN3,1,3,3,0,FCN3
MSTN,1,1,1,0,MSTN
NPIPB5,0,0,1,0,NPIPB5
FMO2,0,0,0,0,FMO2
NBAS,1,2,2,0,NBAS
LAMTOR1,0,0,0,0,LAMTOR1
BEX3,0,0,0,0,BEX3
CPSF7,0,0,0,0,CPSF7
ELF2,2,1,2,0,ELF2
CYP2C8,2,1,0,0,CYP2C8
RBM7,1,2,2,0,RBM7
ROCK2,0,0,0,0,ROCK2
NLE1,1,1,1,0,NLE1
PDCD5,0,0,0,0,PDCD5
COPS2,1,1,0,0,COPS2
C14orf93,0,0,0,0,C14orf93
NAGA,2,2,2,0,NAGA
CNTN5,1,2,2,0,CNTN5
ERF,1,0,0,0,ERF
