Genes,HSB103,HSB105,HSB107,HSB112,HSB113,HSB114,HSB118,HSB119,HSB121,HSB122,HSB123,HSB124,HSB126,HSB127,HSB130,HSB131,HSB132,HSB135,HSB136,HSB139,HSB141,HSB143,HSB145,HSB148,HSB149,HSB150,HSB153,HSB154,HSB155,HSB159,HSB171,HSB172,HSB174,HSB175,HSB178,HSB194,HSB92,HSB96,HSB97,HSB98
UBQLN2,45.478598,39.95451,34.677815,21.9275,46.027066999999995,34.618054,24.934225,41.961137,16.816906,41.042595,41.593909000000004,46.116787,40.829528,43.144479,43.723014,32.5658,41.081624,36.373396,38.735733,45.177251,20.036619,13.836731,38.343336,34.618054,43.998527,39.507538000000004,40.597875,36.982377,18.505907999999998,46.881752,19.109189999999998,26.9346,50.421333000000004,46.031582,49.870159,43.803214000000004,51.310083,30.233496000000002,46.298245,29.759271000000002
CIRBP,104.118018,39.058172,76.99157199999999,69.108519,85.426242,75.52964300000001,35.861742,31.004227,58.885663,26.298225,56.852739,31.684759999999997,43.2268,27.929007000000002,31.981788,55.140238000000004,36.083628000000004,30.776714000000002,58.076330000000006,36.392257,53.311838,38.701113,37.881159000000004,62.253663,53.22278000000001,85.63958199999999,69.06675200000001,78.162937,62.502922999999996,59.061096,38.191306,28.944616999999997,34.255189,40.698083000000004,43.692033,42.127887,45.89762,76.990413,48.815687,59.427406999999995
PRPF8,65.849643,29.584509999999998,45.161671000000005,67.59690400000001,72.470726,61.273194,19.811258,35.652604,18.977825,29.622319,36.672497,27.045759000000004,30.977935,38.653201,35.695518,13.238376,33.176699,28.033123,36.889368,27.442604,21.385213,21.301201000000002,30.91705,88.405277,68.671621,61.7557,63.253871,74.37554200000001,26.486929999999997,52.491176,33.943948999999996,34.086655,45.57658,29.823271000000002,60.486829,29.222084000000002,57.143885,59.873205000000006,60.871528000000005,49.82659
SLITRK5,3.5853080000000004,6.790692,12.504903,5.500661,5.0994839999999995,14.486695000000001,11.37014,9.651836999999999,5.519821,10.682171,8.225849,11.949872000000001,14.681454,18.454342999999998,7.207069000000001,11.994638,9.746456,13.219171,7.207542999999999,12.193839,9.113695,6.598636,8.586189,6.1821720000000004,5.0979529999999995,6.829832000000001,2.649531,17.101103,6.412859,15.120139000000002,6.540216,5.1208919999999996,12.323055,10.320561999999999,19.99473,18.506349,15.431548999999999,11.946516,23.01707,21.172982
UBQLN1,50.565379,36.001255,43.202040000000004,36.535061999999996,43.830822,37.920173,46.735119,59.848684999999996,27.338373999999998,57.507343000000006,48.643273,42.229453,57.582032999999996,65.615187,47.170783,38.53952,64.735138,50.479436,38.112059,53.79283100000001,30.829925,25.959167,51.884376,39.535523,48.547443,36.129372,41.655262,41.91357,28.850846,50.227796000000005,33.838887,34.274693,53.024263,55.871005000000004,46.900923999999996,62.17074,54.278898,38.00626,53.496328000000005,45.202859000000004
XRCC5,107.76638500000001,40.667603,84.537673,141.54436,126.04950900000001,101.044561,39.690658,43.416083,37.568622999999995,43.802023999999996,42.029112,38.88749,49.500648,42.341871999999995,56.735276,47.811042,49.857289,45.193455,41.140426,45.659362,46.568065999999995,39.290335,42.682573,127.070986,110.85400800000001,105.919478,117.32681699999999,135.43529099999998,49.327245,103.762035,54.641064,50.180459,43.985599,37.01109,119.25801200000001,62.719333,92.49639,101.264473,94.909418,91.78212099999999
TMOD3,12.206156,2.797966,5.720802,5.624175,7.751912,7.259689,3.940668,3.227961,5.721082,4.510658,2.0342990000000003,3.268461,2.788578,2.391999,3.068973,5.550975,5.3741650000000005,2.506847,2.8728830000000003,6.911335,2.745606,6.560044,2.784164,5.455413,8.04393,8.270524,8.980344,7.364841,9.870279,9.981603,6.289025,5.519921,3.029697,3.365424,7.402811,11.801731,9.335883,5.8587739999999995,6.971425,8.036299
SNRNP200,50.527875,24.606622,35.797345,75.916038,57.247379,42.461263,12.999398,17.965286,24.809051999999998,20.19376,19.408057,16.633553,15.235332000000001,22.188822000000002,18.327765,15.933789,22.761132,14.327995000000001,25.004448999999997,20.817667,16.052557,22.087039,17.789483999999998,86.81735400000001,53.413134,43.326025,49.850189,47.135443,27.843943,32.743773,25.472883,30.758066999999997,15.731779000000001,15.548737,42.765065,28.601136999999998,35.951529,50.042865,39.592816,34.323938
ANLN,0.8930049999999999,11.677128,1.735481,6.4660660000000005,1.353158,1.384268,11.186701,24.223517,0.7608590000000001,4.113975,44.963468,11.494621,40.08115,20.989539,46.203337,0.956166,2.059532,10.61123,22.733647,1.385419,19.809472,21.591639999999998,17.260003,14.321451000000001,1.8075080000000001,1.051142,1.570617,1.8238169999999998,0.9482139999999999,1.63804,2.850766,44.748094,12.732069000000001,9.094985000000001,2.198931,1.415254,3.807121,3.039619,1.433742,0.884951
TCEAL5,31.836068,35.708277,55.280292,13.661783999999999,22.446306,40.746854,15.079935,55.076301,22.721778,44.548770000000005,31.415117,51.756687,48.534861,37.938936,43.907303000000006,21.890313,55.448791,23.996388,59.748431000000004,50.376636,28.261812,16.046870000000002,39.646322,22.768067000000002,21.283084,15.960829,29.489368,17.829701999999997,33.493349,22.08697,26.778676,37.176394,22.130419,28.998021,30.711774,26.860604,37.257162,29.195691999999998,29.713185,40.390461
