,Cell_Line,Fold_Change,SEM,Significance,Corr_Significance,Group
28,WM-115,4.477902922739571,0.3857602801699877,0.0,0.0,SynSig
29,U-266/84,5.826486570931638,0.552708325017595,0.0,0.0,SynSig
30,CAPAN-2,4.457441829066715,0.37988439646198,0.0,0.0,SynSig
31,T-47d,5.28857161137411,0.46194993461870376,0.0,0.0,SynSig
32,RT4,5.72833448927924,0.559350276344002,0.0,0.0,SynSig
33,HEL,5.150382777795431,0.4505486394935757,0.0,0.0,SynSig
34,HEK 293,7.692098015198988,0.7841058497596539,0.0,0.0,SynSig
35,SK-BR-3,7.84797002017521,1.1836622609850167,0.0,0.0,SynSig
36,MOLT-4,5.659577365073368,0.5204660904490299,0.0,0.0,SynSig
37,SK-MEL-30,6.909981372593584,0.7214328735962116,0.0,0.0,SynSig
38,Karpas-707,4.569173631796172,0.40338473241700107,0.0,0.0,SynSig
39,Daudi,7.280460135730256,0.8386846481284896,0.0,0.0,SynSig
40,HDLM-2,3.9781418336430394,0.33163781913887813,0.0,0.0,SynSig
41,AN3-CA,5.906036268573031,0.6019334234101703,0.0,0.0,SynSig
42,A-431,5.18498609787446,0.4331104794880494,0.0,0.0,SynSig
43,THP-1,7.584442818703896,0.9322717560371113,0.0,0.0,SynSig
44,U-2197,4.251952523604916,0.3708634349377364,0.0,0.0,SynSig
45,LHCN-M2,4.977046942570993,0.4842699369489279,0.0,0.0,SynSig
46,PC-3,5.602922006518841,0.48129643015047374,0.0,0.0,SynSig
47,BJ hTERT+,4.417971342248976,0.5080980033155695,0.0,0.0,SynSig
48,EFO-21,5.130809524521043,0.4794598226343314,0.0,0.0,SynSig
