,Threshold,True_Positives,False_Positives
0,7.000545448954664,0.0,0.0
1,6.000545448954664,0.0,0.0001023122570083896
2,5.8701996808659995,0.0022026431718061676,0.0001023122570083896
3,5.825316802447747,0.0022026431718061676,0.0002046245140167792
4,5.813544648864998,0.003303964757709251,0.0002046245140167792
5,5.759464935253,0.003303964757709251,0.0003069367710251688
6,5.736020582357002,0.004405286343612335,0.0003069367710251688
7,5.729588410239001,0.004405286343612335,0.0004092490280335584
8,5.710152694596499,0.007709251101321586,0.0004092490280335584
9,5.668516831739002,0.007709251101321586,0.0009208103130755065
10,5.658575463282,0.00881057268722467,0.0009208103130755065
11,5.626529961336498,0.00881057268722467,0.0011254348270922857
12,5.6230196419780825,0.009911894273127754,0.0011254348270922857
13,5.595213014010248,0.009911894273127754,0.0014323715981174544
14,5.5828107485635,0.013215859030837005,0.0014323715981174544
15,5.578086675170214,0.013215859030837005,0.0016369961121342337
16,5.560929992352499,0.015418502202643172,0.0016369961121342337
17,5.560635821678,0.015418502202643172,0.0017393083691426233
18,5.540669562833,0.022026431718061675,0.0017393083691426233
19,5.517798830446,0.022026431718061675,0.0020462451401677922
20,5.510440014623,0.023127753303964757,0.0020462451401677922
21,5.487655298675666,0.023127753303964757,0.0024554941682013503
22,5.486095996755498,0.024229074889867842,0.0024554941682013503
23,5.485898757128665,0.024229074889867842,0.00255780642520974
24,5.462819879797583,0.02973568281938326,0.00255780642520974
25,5.452028551417249,0.02973568281938326,0.0026601186822181296
26,5.44896601434225,0.030837004405286344,0.0026601186822181296
27,5.430199988678001,0.030837004405286344,0.003069367710251688
28,5.429786723612999,0.031938325991189426,0.003069367710251688
29,5.425045541195499,0.031938325991189426,0.003376304481276857
30,5.4084633277205825,0.03854625550660793,0.003376304481276857
31,5.401488176369998,0.03854625550660793,0.0037855535093104156
32,5.391734411329,0.04405286343612335,0.0037855535093104156
33,5.390911750866499,0.04405286343612335,0.003990178023327195
34,5.383689737226083,0.0473568281938326,0.003990178023327195
35,5.3832775401474535,0.0473568281938326,0.0040924902803355845
36,5.373851960738749,0.048458149779735685,0.0040924902803355845
37,5.372824328125249,0.048458149779735685,0.004297114794352364
38,5.371775472875498,0.05066079295154185,0.004297114794352364
39,5.371137726264999,0.05066079295154185,0.004399427051360753
40,5.368302402755072,0.051762114537444934,0.004399427051360753
41,5.366101324028166,0.051762114537444934,0.004501739308369143
42,5.362871666675165,0.05506607929515418,0.004501739308369143
43,5.360143818918,0.05506607929515418,0.004604051565377533
44,5.359346660390499,0.05616740088105727,0.004604051565377533
45,5.350735776972499,0.05616740088105727,0.004910988336402701
46,5.350640615482166,0.05726872246696035,0.004910988336402701
47,5.349355725804498,0.05726872246696035,0.00501330059341109
48,5.3477623031485,0.05837004405286344,0.00501330059341109
49,5.34439467874025,0.05837004405286344,0.005320237364436259
