,Genes,gene_length,pFAM_domain_number
926,LMNB2,29321.0,2
927,MYL12B,16952.0,2
928,OPA1,104667.0,1
929,CDH9,240553.0,2
930,ATAT1,19981.0,1
931,AHCYL1,38977.0,2
932,HNRNPL,15959.0,3
933,CCT4,20586.0,1
934,WDR5,24603.0,1
935,ITPR3,76209.0,5
936,CELF4,322787.0,1
937,ZSCAN5B,8350.0,3
938,FUNDC1,19220.0,1
939,GPHN,674396.0,3
940,GNB1,105832.0,1
941,MBOAT7,16569.6220472441,1
942,FRRS1L,37002.0,1
943,FN3K,15581.0,1
944,DNAJA3,30970.0,3
945,UNC80,227307.0,1
946,CADM2,1115448.0,3
947,NLK,154644.0,1
948,RACGAP1,56213.0,2
949,POP7,1365.0,1
950,TNIK,401994.0,2
951,CASD1,47800.0,1
952,TRIM46,11184.0,2
953,RAP1A,174473.0,1
954,GRIK2,888826.0,3
955,CACNA2D3,952010.0,4
956,PPP2CB,39857.0,1
957,ZMAT3,112094.0,2
958,EGR4,2776.0,1
959,DCTN1,30933.0,2
960,CDK14,744166.0,1
961,FAM126B,97953.0,1
962,STMN2,55361.0,1
963,TTBK1,44777.0,1
964,PCBP2,29060.0,1
965,SUCLA2,292232.0,2
966,WRNIP1,21538.0,4
967,AKAP5,9004.0,1
968,MAPK9,58956.0,1
969,MYH10,156556.0,4
970,DGKZ,47649.0,4
971,EGFR,192611.0,4
972,ERH,18171.0,1
973,PDZD4,28399.0,1
974,WASL,67060.0,3
975,STMN3,17977.0,1
976,HERC2,233848.8376383764,7
977,PXN,55332.0,2
978,SDHA,38841.0,2
979,EPHA5,350932.0,5
980,UBB,1947.0,1
981,PSMD10,7342.0,4
982,RUNX1T1,148319.0,3
983,RPL34,9846.0,1
984,APC2,26942.0,8
985,KBTBD6,5177.0,3
986,GLRB,95965.0,2
987,GPR158,427427.0,1
988,ARHGAP32,314264.0,3
989,CNNM1,64974.0,2
990,RANGAP1,40640.0,2
991,FYN,213120.0,3
992,PCDHA8,171160.0,3
993,KCNQ2,65156.76076555024,5
994,NUDT21,23066.0,1
995,RPL14,11295.0,1
996,ABR,178482.15275813296,5
997,PCDHGC5,23858.0,4
998,MAPK6,115269.0,1
999,KCTD8,274906.0,1
1000,POU3F2,4878.0,2
1001,CEP170B,31502.0,2
1002,DIP2B,243672.0,2
1003,OCIAD1,56605.0,1
1004,RABL6,33244.0,1
1005,LDHB,122515.0,2
1006,CPNE6,7263.0,2
1007,SFN,1307.0,1
1008,GABRA3,285081.0,2
1009,ACTL6B,13364.0,1
1010,PDE4DIP,240105.0,3
1011,MYO16,614187.0,3
1012,ARPC1B,20567.0,1
1013,TCF4,442456.0,1
1014,ATP6V0C,6266.0,1
1015,HNRNPC,60358.0,1
1016,DPP10,1403453.0,2
1017,NLGN3,26370.0,1
1018,GFAP,13778.0,2
1019,OXCT1,140360.0,1
1020,SYT5,9093.0,1
1021,CIT,191529.0,4
1022,SEH1L,40403.0,1
1023,VAPB,61979.0,1
1024,UBE2V2,56293.0,1
1025,GPR3,3192.0,1
1026,ATP1B2,11143.0,1
1027,ABCE1,31236.0,3
1028,EPHB1,662666.0,6
1029,PCDHAC2,45877.0,4
1030,PRNP,15354.0,2
1031,KCNAB1,501437.0,1
1032,EIF3H,124795.0,1
1033,PPM1H,291156.0,1
1034,MFSD8,48302.0,1
1035,NDUFS3,19226.0,1
1036,STRAP,21091.0,1
1037,CBX7,32513.0,2
1038,SORBS2,371208.0,3
1039,HSPB1,1622.0,1
1040,APOB,42644.0,4
1041,NAPB,47000.0,1
1042,RAB39A,35034.0,1
1043,FARSA,11558.0,4
1044,DNAJA1,14634.0,3
1045,HOXC10,5214.0,1
1046,UBQLN1,47990.0,2
1047,APLP2,76664.0,5
1048,ABL1,173729.0,4
1049,HPRT1,60348.0,1
1050,SSBP1,30991.8417721519,1
1051,FRMD4A,818436.0,4
1052,GRIA2,161893.0,4
1053,PLK1,12711.0,2
1054,DDX3X,31188.0,2
1055,PHLPP1,264892.0,5
1056,FCHO1,40850.0,3
1057,LIMA1,107758.0,1
1058,RAB7A,88674.0,2
1059,RPS15A,9088.0,1
1060,ITSN1,257461.0,7
1061,TBC1D5,1287655.0,1
1062,ASPM,62567.0,3
1063,BRD2,18220.127625201934,2
1064,CREBBP,155672.0,7
1065,RAB11FIP2,42025.0,2
1066,MEGF8,53160.0,6
1067,FASN,19956.0,10
1068,CDC42EP5,8212.458333333334,2
1069,LGALS3,21313.0,1
1070,EPB41,232955.0,6
1071,SPTAN1,81104.0,4
1072,DUSP8,17990.666666666668,2
1073,CDH8,389793.0,2
1074,RPL8,2822.0,2
1075,MYT1L,542551.0,3
1076,L1CAM,24660.0,4
1077,EEF1B2,3343.0,2
1078,BSG,12216.0,1
1079,UNC5B,90294.0,5
1080,SEC23A,77727.0,5
1081,RBFOX1,2473536.0,2
1082,ASTN1,307671.0,2
1083,PHACTR3,270202.0,1
1084,LRPPRC,109765.0,3
1085,CLSTN1,95500.0,2
1086,FLNC,28897.0,2
1087,REEP2,7912.0,1
1088,CCT3,58905.0,1
1089,PGBD5,111842.0,1
1090,FAM217B,14916.0,1
1091,CACNA1E,490394.0,3
1092,KIF3B,57360.0,1
1093,ACTR3B,95629.0,1
1094,THRA,35577.0,2
1095,FMN2,460839.0,2
1096,NDRG1,64851.0,1
1097,BRINP3,380746.0,1
1098,CAMK2D,310895.0,2
1099,TBK1,50022.0,3
1100,CLTB,24114.0,1
1101,MAP3K10,24149.0,2
1102,LMO4,20043.0,1
1103,UBL4A,2898.0,2
1104,C2CD2L,16346.0,1
1105,DSCAM,836159.0,3
1106,SPG7,67049.0,4
1107,ARHGDIA,3657.0,1
1108,PSMD1,115963.0,4
1109,CYFIP2,129516.0,2
1110,ATP6V1B2,29438.0,2
1111,DNAJC12,41519.0,1
1112,KHDRBS2,606264.0,3
1113,VDAC3,14313.0,1
1114,PMS2,38181.0,3
1115,GRID1,767243.0,3
1116,KIF3A,45010.0,1
1117,DOC2A,17756.0,1
1118,RIT2,372464.0,1
1119,RYR3,555176.0,8
1120,PRMT5,8883.0,3
1121,GRIA3,306762.0,3
1122,ALS2,80689.0,5
1123,NDUFAF4,8576.0,1
1124,CPNE9,26082.0,2
1125,TLX2,3685.0,1
1126,MCC,466724.0,2
1127,KIF5A,36589.0,1
1128,FBXW7,215548.0,2
1129,POU3F3,3063.0,2
1130,ATXN1,462379.0,2
1131,NOMO1,62421.06493506492,1
1132,TLN1,35247.0,6
1133,FLNA,26114.0,2
1134,SRP9,12655.0,1
1135,ADCY8,260608.0,3
1136,CDS2,71008.0,1
1137,NCAN,40275.0,5
1138,APPL1,50379.0,3
1139,B3GALNT1,21528.0,1
1140,RELN,517874.0,2
1141,NALCN,362732.0,1
1142,DSP,45097.0,3
1143,DAB2IP,218473.0,3
1144,CCT7,19601.0,1
1145,TSPYL1,12143.0,1
1146,CCT6A,12304.0,1
1147,APEX1,2581.0,1
1148,GAD1,47938.0,1
1149,WDR1,42610.0,1
1150,MAPK11,7054.0,1
1151,NDUFA8,15721.0,1
1152,SMARCC2,27208.0,5
1153,SMARCC1,196837.0,5
1154,CUL4B,51185.0,2
1155,RPS25,2979.0,1
1156,ITPKA,10158.0,1
1157,RAP2A,34959.0,1
1158,MTMR7,116734.0,1
1159,RBFOX2,245615.0109090909,2
1160,COPA,54679.0,4
1161,HSPA4,54436.0,1
1162,DYNC1H1,91870.0,11
1163,FAM131B,9370.0,1
1164,ERBB2,42512.0,4
1165,DDX5,8583.0,3
1166,DLG1,256770.0,6
1167,CCT8,17992.0,1
1168,KMT2A,90368.0,6
1169,PCDHA5,190743.0,3
1170,CCDC92,42220.77777777778,1
1171,VSNL1,117892.0,3
1172,NTRK3,397017.0,6
1173,BEX1,1520.0,1
1174,AJAP1,137802.0,1
1175,PTN,116524.0,2
1176,TCEA2,22511.0,3
1177,SMARCA5,43784.0,5
1178,MYH13,72265.0,3
1179,EEF1A2,11171.0,3
1180,UBE3A,105323.0,2
1181,STAT1,56602.0,5
1182,NMT1,57406.0,2
1183,TUSC2,8224.0,1
1184,SGSM1,121409.0,3
1185,LRP1,84858.0,6
1186,MAPK3,9401.0,1
1187,ABCG4,13601.0,2
1188,CDK5,4082.0,1
1189,ARF3,21764.0,1
1190,RPS6,4539.0,1
1191,DCX,118650.0,1
1192,DEPDC5,154166.0,2
1193,RELL2,4114.0,1
1194,RPL30,21618.0,1
1195,RTN1,274800.0,1
1196,LAMP1,26433.0,1
1197,NCDN,9801.0,1
1198,BRCA1,125950.0,5
1199,CA11,8241.0,1
1200,NF2,95042.0,4
1201,CDK2,6008.0,1
1202,STAT3,75244.0,4
1203,NECAP1,20942.0,1
1204,VPS13A,244092.0,6
1205,LRRTM2,6447.0,1
1206,MUC16,132498.0,1
1207,CSNK2B,7681.899791231734,1
1208,EIF4A1,6300.0,2
1209,CDH18,1104577.0,2
1210,BEX2,1700.0,1
1211,SIPA1L1,420780.0,2
1212,GAPDH,3862.0,2
1213,TSG101,58615.0,2
1214,TCEAL5,3059.0,1
1215,HNRNPK,12533.0,2
1216,STUB1,2646.0,3
1217,MATR3,45985.0,1
1218,CTNND1,66303.0,1
1219,LZTS3,10975.0,1
1220,GPR61,8534.0,1
1221,RPL5,9911.0,2
1222,IQSEC1,386238.0,2
1223,HNRNPD,22005.0,2
1224,MVP,27645.0,5
1225,SLC25A1,3158.0,1
1226,LRRK2,172541.0,4
1227,EIF3I,9676.0,1
1228,TAOK3,223106.0,1
1229,KCND2,477162.0,4
1230,CDIP1,21519.379310344822,1
1231,GNAO1,165955.0,1
1232,CRTC1,98655.0,3
1233,DYNLL1,28643.0,1
1234,UBA52,5820.0,2
1235,KLHL22,54325.0,5
1236,PFKL,27325.0,1
1237,CHD3,27954.0,8
1238,ARHGEF4,210347.0,3
1239,TPM1,29283.0,2
1240,HMOX2,35657.0,1
1241,AMER3,12699.0,1
1242,TUBG1,5555.0,2
1243,TUBA4A,28460.0,2
1244,PREPL,45581.0,2
1245,RNPS1,15281.0,1
1246,MKKS,33213.0,1
1247,KCNC1,122030.0,2
1248,RAB13,4741.0,1
1249,SULT4A1,38004.0,1
1250,RPL27,4686.0,2
1251,CDK5R2,2507.0,1
1252,IGSF21,270685.0,1
1253,PSAT1,32968.0,1
1254,CNKSR2,281894.0,5
1255,HCN1,441550.0,3
1256,CASKIN1,19345.0,7
1257,BRINP2,111464.0,1
1258,ATP6AP2,27476.0,1
1259,UNC13A,87037.0,4
1260,CLIP3,18683.0,2
1261,RRAS,4851.0,1
1262,BCR,138333.0,4
1263,ERBB4,1163124.0,4
1264,GNAQ,315371.0,1
1265,SPTBN4,110223.0,3
1266,RPS10,8615.0,1
1267,RPS6KA3,117608.0,2
1268,WASF3,131245.0,1
1269,RPS8,3528.0,1
1270,PPIB,7393.0,1
1271,DNM1,63593.0,4
1272,RBFOX3,426803.0,2
1273,RMND5A,57750.0,2
1274,MAGI2,1436612.0,5
1275,RGS7,581715.0,4
1276,LIN7C,12351.0,2
1277,CPSF7,27390.0,1
1278,HSPA9,21660.0,1
1279,CIRBP,15496.0,1
1280,NAP1L2,2549.0,1
1281,KSR2,515971.0,2
1282,RPL24,5627.0,1
1283,SGCE,132368.0,1
1284,RPS2,2783.0,2
1285,AGK,98177.12738853504,1
1286,KHDRBS1,46982.0,3
1287,RPL18A,4243.0,1
1288,MICU3,95404.0,1
1289,SORL1,181449.0,5
1290,MATK,24159.0,3
1291,PARP1,47402.0,6
1292,B4GALNT1,9830.0,1
1293,MARCKSL1,2394.0,1
1294,CSMD2,651843.0,2
1295,PRKCE,536645.0,4
1296,SLC22A17,6606.0,1
1297,RPS7,5660.0,1
1298,APP,290578.0,6
1299,SLC6A1,47061.0,1
1300,NAP1L5,1914.0,1
