,Genes,gene_length,pFAM_domain_number
96,PRKCB,384628.0,4
97,CAD,26574.0,8
98,MCM2,24026.0,5
99,SYT3,18574.0,1
100,TARDBP,14076.0,2
101,SSRP1,9906.0,4
102,RPL12,3732.0,2
103,HNRNPA0,8725.0,1
104,ANXA2,55749.0,1
105,CHST1,17933.0,1
106,ACTR1A,40831.0,1
107,ZBTB18,8537.0,3
108,RYR2,791804.0,9
109,RIPPLY2,4249.0,1
110,TOMM34,18267.0,1
111,MSH2,260177.0,5
112,MYCBP2,282437.0,6
113,EEF1G,14490.0,3
114,KCNG3,51965.0,2
115,RHBDL1,2602.0,1
116,OTUB1,15958.0,1
117,A2M,48565.0,7
118,MCM7,9212.0,4
119,PHB2,5498.0,1
120,MYO1C,28500.0,3
121,GALNT13,582057.0,2
122,APBA2,219876.96703296702,2
123,CD44,93532.0,1
124,PHYHIPL,71131.0,1
125,KIF1B,170798.0,6
126,ALDH5A1,42355.0,1
127,RPSA,5826.0,2
128,NEUROG3,1540.0,1
129,CACNA1C,730150.0,4
130,CATSPERD,58097.0,1
131,BRWD1,137383.0,2
132,PKM,32793.0,2
133,MAST1,41001.0,3
134,ATL1,100559.0,1
135,AKAP6,508386.0,1
136,NDRG3,94324.0,1
137,NDUFA4,8210.0,1
138,TRIM26,28961.295566502467,4
139,SLC4A10,560950.0,2
140,KAT6B,207697.0,4
141,KIF3C,56151.0,1
142,DHX9,48635.0,5
143,SRPK2,288604.0,1
144,CSE1L,50714.0,3
145,CSMD3,1214011.0,2
146,FBXL17,523063.0,2
147,BTF3,7227.0,1
148,RAB8A,22345.0,1
149,ALDOA,6293.0,1
150,CDH16,10795.0,1
151,SYT13,46039.0,1
152,MAGEE1,3629.0,1
153,HSD11B1L,7919.0,1
154,RPL31,21803.0,1
155,USP11,15638.0,4
156,FKBP3,19720.0,2
157,XRCC5,98839.0,4
158,NFKBIA,3238.0,2
159,SOX2,2511.0,2
160,PIK3CB,182239.0,5
161,CACYBP,12552.0,3
162,DNAJA2,18312.0,3
163,CLIC1,9183.0,2
164,FRMD5,324510.0,4
165,BCAR1,39875.0,4
166,DSTYK,69197.0,2
167,RPL10A,2384.0,1
168,EIF3F,31611.0,2
169,EHBP1,372636.0,3
170,TMEM25,16239.0,1
171,GNB2,5607.0,1
172,FBXL2,126637.0,2
173,LRRC4C,1345570.0,3
174,SYBU,117813.0,1
175,USP7,72417.0,4
176,LRFN2,195879.0,3
177,SRRM2,19912.0,1
178,GRIK1,403100.0,3
179,NUP93,120168.0,1
180,GPR52,1471.0,1
181,KPNA2,11146.0,3
182,DACH2,684153.0,1
183,PRKCZ,134984.0,4
184,RAB14,44881.0,1
185,CPLX2,87711.0,1
186,PPP2CA,31741.0,1
187,GSK3A,12435.0,1
188,AP2A1,40145.0,3
189,NIPSNAP1,26529.0,1
190,ALDOC,3833.0,1
191,LIN7B,4136.0,2
192,CBX6,10864.0,2
193,RPL35,4101.0,1
194,SLC9A6,73428.0,1
195,LGI3,10254.0,3
196,TUBB,5206.25,2
197,MAP1LC3A,13491.0,1
198,PTK2,344316.0,4
199,MYPOP,12590.0,1
200,LIMCH1,340437.0,3
201,SRSF1,6427.0,1
202,SVIL,279443.0,2
203,PCDHGA3,169150.0,4
204,TUBB4A,8529.0,2
205,ELMO1,594888.0,3
206,ALYREF,3742.0,2
207,RAB4B,18726.0,1
208,RNF6,90199.0,1
209,ATP6V1C1,51988.0,1
210,SND1,440415.0,2
211,PRDX1,12011.0,2
212,GABRG1,88285.0,2
213,UCHL5,47830.0,2
214,OMG,25526.0,3
215,TTC1,56430.0,2
216,CELSR2,26212.0,8
217,NOTCH3,41957.0,9
218,KIF13B,195846.0,6
219,RIMKLA,43440.0,1
220,GRB2,87633.0,2
221,UNC79,374657.0,1
222,RIMS4,58530.0,1
223,CCDC88A,132053.0,1
224,RPS4X,21569.0,5
225,ST3GAL3,225341.0,1
226,EMD,2326.0,1
227,RAB39B,6256.0,1
228,MAPK10,604618.0,1
229,PTPRN2,992052.5663716814,3
230,CTTN,38180.0,3
231,TTN,304813.0,6
232,BDNF,67165.0,1
233,FAM98A,15722.0,1
234,AKTIP,13371.0,1
235,BRI3BP,37586.0,1
236,STAU2,327339.0,2
237,SNAP23,54123.0,1
238,BRSK1,30461.0,1
239,NRXN3,1697917.0,3
240,SPOCK1,623081.0,3
241,MLLT11,10739.0,1
242,POLR2A,29917.109589041094,8
243,DMTN,33532.0,2
244,GRIN2C,19481.0,4
245,G3BP2,81743.0,2
246,LRRC4,5036.0,2
247,USP5,14504.0,4
248,CDH1,98249.0,3
249,SPTBN5,45907.0,2
250,ZNF534,23128.0,2
251,NDRG4,50782.0,1
252,BZW2,60392.0,1
253,EZR,53627.0,4
254,GRN,7860.0,1
255,CAMK1G,30225.0,1
256,CABP1,26772.0,1
257,OLFM3,194456.0,2
258,SF3B4,4486.0,1
259,NEDD8,15510.0,1
260,RPS15,2136.0,1
261,ATF2,96132.0,1
262,MPP1,42323.0,4
263,CADM1,335739.0,3
264,SH2D5,13106.0,1
265,PRRC2A,17049.85714285714,1
266,ATXN3,62125.0,3
267,EVL,172787.0,2
268,MYH9,106790.0,3
269,TJP2,153351.0,3
270,RPL10,19213.0,1
271,SNRPN,155086.0,1
272,GABRA5,82297.0,2
273,EPB41L3,238319.0,6
274,CLTC,77267.0,4
275,AP3M2,18727.0,2
276,ENO2,9953.0,2
277,FSD1,19245.0,2
278,KNG1,27062.0,1
279,ZEB2,156693.0,2
280,MKI67,29764.0,3
281,CNP,10977.0,2
282,TMEM17,11676.0,1
