Age,AGO1,APEX1,CIRBP,DHX15,FAT3,G3BP1,ILF2,KHDRBS1,OCIAD1,PCDH10,PRMT1,PRPF19,PRPF8,RAI14,RUNDC3A,SLC25A1,SLC25A6,SNRNP200,SNRPN,SRSF1,SSRP1,SUPT16H,TMOD3,TMPO,TUBG1,UBQLN1,UBQLN2,XRCC5,XRCC6,mean,stderr
56.0,32.955791999999995,140.222972,69.108519,30.611013,9.110788000000001,44.947539,141.553535,113.036851,16.797654,1.332311,94.75638599999999,71.83577199999999,67.59690400000001,18.164551,37.838007,63.080965,0.056965999999999996,75.916038,9.09267,98.41251199999999,76.54765,61.087481000000004,5.624175,60.654278000000005,18.419612,36.535061999999996,21.9275,141.54436,130.408955,58.247476482758614,8.005140318340743
63.0,24.131385,146.01913000000002,62.253663,38.955642,22.120292000000003,23.749907999999998,145.555117,131.878683,15.611095,0.9245459999999999,64.308175,71.51176099999999,88.405277,27.219419,26.649421999999998,69.586699,0.037965,86.81735400000001,7.419900999999999,82.44238299999999,70.890346,60.594970999999994,5.455413,64.513812,21.721439,39.535523,34.618054,127.070986,143.135874,58.72876672413792,8.14063241590661
84.0,7.546434666666666,114.350572,80.044192,19.454735666666668,26.418447333333333,9.941294000000001,113.14709999999998,127.07026833333332,24.309331666666665,5.500019999999999,62.726068999999995,55.36736166666666,65.82676566666666,21.422310666666665,31.586305666666664,30.336915666666666,0.07018333333333333,50.14119766666666,13.574503333333332,52.54736499999999,37.715901333333335,36.785503,8.33426,20.126906333333334,13.218053666666664,40.538485333333334,42.044160000000005,116.43193466666666,94.95592166666665,45.57008618390804,6.664554213136834
91.0,6.467043333333334,123.09118066666667,77.62348033333335,23.04825,24.35352933333333,10.315763333333333,112.29350600000002,120.47831333333333,29.620646333333337,9.960679666666666,69.90865833333332,56.79182599999999,65.26481933333334,20.367733333333334,34.043101666666665,32.593067,0.05661533333333333,48.80075733333333,11.448216333333335,50.10291899999999,45.02647233333334,37.35691633333334,9.169925000000001,22.643814666666668,14.593316666666666,45.677665,41.36505966666667,106.55498466666667,102.23750633333333,46.59502643678161,6.561534948829465
112.0,8.823433666666666,110.90981000000001,66.28179433333334,22.98877333333333,15.474660000000002,11.780473333333333,114.16270166666668,109.92746566666666,35.65546666666666,42.87238366666667,69.216558,53.641915000000004,64.91185866666667,12.100264666666668,38.23009133333333,32.171127000000006,0.028406666666666663,46.647791000000005,11.366999999999999,51.380579000000004,44.63347866666667,39.43492666666666,6.875475333333334,16.810650333333335,12.821520999999999,42.273584666666665,39.028677333333334,118.65259199999998,98.37893833333332,46.12008268965517,6.3244918418732725
119.0,6.365887,104.978867,48.815687,23.452579999999998,11.448402,6.894423,119.46891200000002,104.119378,37.709266,47.391595,45.979876000000004,50.272853999999995,60.871528000000005,7.4404330000000005,36.600054,24.17667,0.020099000000000002,39.592816,12.959012,41.340356,34.635447,34.918175,6.971425,11.509030000000001,15.127398000000001,53.496328000000005,46.298245,94.909418,82.229775,41.7239288275862,5.856830709610954
133.0,6.389799,94.006389,59.427406999999995,24.300176999999998,7.496681,7.661772,108.364426,88.51847,43.78317,36.99535,67.825817,46.165484,49.82659,6.273287,50.259722,23.256632,0.011611,34.323938,10.724308,40.470284,45.536231,37.744445,8.036299,11.452535000000001,13.764039000000002,45.202859000000004,29.759271000000002,91.78212099999999,91.71979499999999,40.72685893103448,5.54788081033694
147.0,6.0924815,97.685063,61.444596,18.208345,14.790695,5.3955645,89.925287,98.8808965,42.9853875,34.5166465,45.805334,42.544331,51.152778,4.9874095,34.1544605,23.084242,0.026123,35.874437,10.01224,45.961139,37.615773000000004,36.929740499999994,7.528342500000001,7.150048,16.3743645,48.740469000000004,42.993949,88.5170315,78.481347,38.891673155172406,5.262667494566481
154.0,5.248453,84.60364399999999,59.061096,18.139577,10.043954,8.277341999999999,94.13967199999999,107.407017,45.076512,35.408951,52.70183000000001,39.394046,52.491176,4.641394999999999,37.455819,21.117947,0.018449,32.743773,10.423226,42.196047,38.005072999999996,32.445002,9.981603,12.642152000000001,12.437966000000001,50.227796000000005,46.881752,103.762035,88.359629,39.839066689655176,5.565824372522896
245.0,4.246601,54.071594,62.502922999999996,14.669459,3.3042,11.340058,58.914609,55.397124,49.806925,22.463003,24.456296,23.234088,26.486929999999997,6.897983,34.902912,24.428967,0.021391999999999998,27.843943,15.308960999999998,53.089344,21.922568,18.951752,9.870279,17.820643,10.669602000000001,28.850846,18.505907999999998,49.327245,43.765018,27.347281827586208,3.2978625388162586
259.0,3.274582,42.711369,42.127887,16.27521,3.2288349999999997,8.348738,52.831754000000004,49.99955,65.580378,43.626992,27.307308000000003,31.134527000000002,29.222084000000002,3.964235,40.917159999999996,19.129127,0.007564,28.601136999999998,16.09715,17.237068,22.004749,25.644266000000002,11.801731,7.191555,13.651569,62.17074,43.803214000000004,62.719333,58.79006700000001,29.289651000000003,3.598144060588757
388.0,5.209563666666667,39.389893666666666,43.787182666666666,12.093715666666668,7.436256,7.612545666666667,46.691416333333336,48.79115133333334,56.740973999999994,32.09626733333334,24.285245000000003,34.41273733333333,26.532376,3.185549333333333,63.922945999999996,12.670817333333332,0.013941666666666666,22.795950333333334,20.537351666666666,29.381831666666667,17.246481333333335,19.317106,6.002194,4.356056333333333,15.699958,48.622114333333336,34.358593666666664,44.361758,60.175818,27.16302732183909,3.358669690761759
448.0,4.297225,23.218137,55.140238000000004,16.316589999999998,16.242239,10.483523,42.197167,52.908822,53.263206999999994,36.35779,32.649508000000004,19.152101000000002,13.238376,2.8001009999999997,85.599563,11.10393,0.019181,15.933789,57.85499,19.155559,13.557081,18.234006,5.550975,7.104317999999999,5.8613610000000005,38.53952,32.5658,47.811042,29.211906,26.42648431034483,3.725616808951949
567.0,3.6347959999999997,39.632690000000004,38.191306,14.110864000000001,3.7288309999999996,9.620703,36.369192,40.485815,49.209192,25.754046,26.698088000000002,41.527304,33.943948999999996,2.274257,109.87303899999999,5.850332,0.015327,25.472883,37.544727,29.057501000000002,17.820307,19.148626,6.289025,4.404051,16.281087,33.838887,19.109189999999998,54.641064,91.71979499999999,28.836099103448273,4.523387341963181
631.0,4.941435,32.390917,26.298225,12.041582,8.024754,4.75395,36.616814,40.608875,55.255277,38.069849,18.578670000000002,50.204145000000004,29.622319,1.547199,77.68239399999999,6.126455,0.013119,20.19376,26.162697,25.37327,14.81339,17.701658,4.510658,3.072584,19.120082,57.507343000000006,41.042595,43.802023999999996,54.986828,26.588374758620688,3.6204680131093947
997.0,6.210704,30.188685999999997,38.701113,13.105609,5.453916,16.242826,41.081725,33.804743,53.149273,21.407329,20.020317000000002,25.225826,21.301201000000002,6.599384,46.552438,11.265605,0.012731999999999999,22.087039,15.206882,32.416216,14.178704999999999,13.677283,6.560044,8.810194000000001,9.141002,25.959167,13.836731,39.290335,59.484505000000006,22.44729413793103,2.7443255548212777
1302.0,8.144824,42.037894,28.944616999999997,15.015754999999999,5.388236,10.824648,45.786224,46.724565999999996,44.420592,35.756747,14.322232000000001,46.993521,34.086655,4.014991,52.290394,12.071612,0.015327,30.758066999999997,13.06587,38.026034,16.083081,16.605547,5.519921,3.7713660000000004,9.506633,34.274693,26.9346,50.180459,62.622653,26.006474448275863,3.217089400241502
1727.0,3.6095629999999996,26.996591,35.861742,14.166967000000001,5.701626,10.178199000000001,41.138233,21.563933,80.613381,32.758146,42.948654,26.281093,19.811258,1.8948770000000001,132.26456299999998,5.996049,0.008494,12.999398,52.99515400000001,14.76711,12.578595,11.998631,3.940668,7.472017999999999,12.687704,46.735119,24.934225,39.690658,61.462225,27.726030137931033,5.045832329302371
3188.0,6.258188,38.658731,53.311838,10.241888000000001,3.212483,9.064962,33.662414,24.57672,63.267408999999994,18.4271,19.653235000000002,37.712356,21.385213,1.333615,101.36802,11.538828,0.013119,16.052557,34.730821999999996,18.877807999999998,13.094156,14.425598999999998,2.745606,5.278085,8.425371,30.829925,20.036619,46.568065999999995,67.266075,25.241958896551726,4.180255236009088
3278.0,5.008095,34.167034,34.255189,13.515597,5.3896809999999995,8.824057,40.222881,27.424302,44.230472999999996,47.154011,23.387999,43.965775,45.57658,1.021839,105.576675,4.719048,0.006940000000000001,15.731779000000001,38.170708000000005,31.294846999999997,8.973394,17.516666,3.029697,4.3369860000000005,30.138454,53.024263,50.421333000000004,43.985599,52.483754000000005,28.743229517241378,4.155581180102214
4184.0,5.507624,29.859095,40.698083000000004,10.356629,7.142695,8.263952,35.106193,31.101792,47.448822,31.125276,20.620210999999998,54.913856,29.823271000000002,0.991976,101.506213,6.224259,0.022843000000000002,15.548737,36.284327000000005,24.93415,15.168495000000002,20.216877,3.365424,4.251535,17.861003,55.871005000000004,46.031582,37.01109,62.40626999999999,27.574596034482752,4.085273555964556
5014.0,6.7659020000000005,31.538562,31.684759999999997,10.709191,4.777277,7.354482000000001,35.642024,41.639765000000004,66.20016899999999,32.576023,14.308464,62.537181999999994,27.045759000000004,1.256514,91.14090300000001,5.576756,0.015352000000000001,16.633553,30.412729,26.737340000000003,13.152669,17.463057,3.268461,3.95577,16.214163,42.229453,46.116787,38.88749,52.94354499999999,26.85462420689655,3.9921435878855083
5745.0,5.781629,33.888269,31.004227,12.057459,4.840483,5.992007,36.732694,33.846965000000004,54.858796999999996,27.380663000000002,17.444878,80.363282,35.652604,0.999825,98.080947,5.061502,0.021946,17.965286,48.022079,27.042813,14.641521,19.499206,3.227961,4.486253,20.141762,59.848684999999996,41.961137,43.416083,64.342873,29.26220124137931,4.4474789258676894
6841.0,6.2943690000000005,29.807192999999998,39.058172,9.300188,4.5399970000000005,9.108342,32.957436,37.710815999999994,62.073719999999994,21.311872,14.387517,49.935094,29.584509999999998,2.3012259999999998,99.444956,12.086217,0.013803,24.606622,37.310533,28.081584000000003,13.674714000000002,16.754896,2.797966,4.129903,11.425621000000001,36.001255,39.95451,40.667603,58.232983999999995,26.67426272413793,3.981057409573625
7206.0,5.51195,34.263607,27.929007000000002,15.240687,4.225839,6.868728,45.865401,30.009486,59.91349399999999,30.70448,19.166204,68.504761,38.653201,1.260549,79.312134,8.095811999999999,0.014813999999999999,22.188822000000002,33.476506,23.506332999999998,16.240064,20.103457000000002,2.391999,4.337658,18.581657,65.615187,43.144479,42.341871999999995,64.37303,28.68417993103448,4.036654965641002
7936.0,5.944093,30.679558,31.981788,11.182516,5.060043,7.475011,38.082229999999996,37.886192,39.562804,26.716418,15.431616,57.438152,35.695518,1.364723,77.32905699999999,6.443795,0.041336000000000005,18.327765,30.724403000000002,25.6124,15.421839000000002,21.962024,3.068973,5.44859,13.567027,47.170783,43.723014,56.735276,76.13689699999999,27.110822103448278,3.853938588714336
8667.0,7.786516000000001,33.888269,58.076330000000006,12.354172,5.3388800000000005,8.060698,34.329738,37.875521,52.768722,25.481722,17.464502,65.984607,36.889368,2.1197340000000002,91.661928,11.048163,0.014836000000000002,25.004448999999997,33.727196,34.275715999999996,15.173638,20.390188000000002,2.8728830000000003,3.711096,14.059544,38.112059,38.735733,41.140426,56.00715400000001,28.42599268965518,3.9502264971277654
11224.0,4.801189,34.350096,43.2268,12.164533,3.747351,7.482877,42.314858,36.404497,67.23010500000001,23.247419,17.527017999999998,70.725622,30.977935,1.267717,89.815618,7.277361,0.022369,15.235332000000001,38.016743,27.58199,15.554917999999999,21.115362,2.788578,5.985422,14.29224,57.582032999999996,40.829528,49.500648,66.208733,29.216375586206894,4.327439286140914
13415.0,6.873357,35.052841,37.881159000000004,11.499927,7.009892999999999,5.459637,38.355776,34.348112,51.253926,22.657781,18.147537,76.026951,30.91705,0.714761,86.85011,6.175248000000001,0.020436000000000003,17.789483999999998,38.068554999999996,28.781051,13.459411,18.838687,2.784164,5.117525,16.887711,51.884376,38.343336,42.682573,61.469519999999996,27.770720517241376,4.041003450786059
13780.0,6.271301,39.687815,56.852739,13.331721,4.301386,5.571923,46.50719,32.425768,47.725308,20.312664,14.740929999999999,81.246848,36.672497,1.556391,74.095499,10.800865,0.018449,19.408057,39.50008,27.707748,15.308957000000001,17.552405,2.0342990000000003,4.150523000000001,13.806567000000001,48.643273,41.593909000000004,42.029112,65.622999,28.60266286206896,4.104097070019867
14876.0,4.352246,27.974887,30.776714000000002,11.630306,2.92608,7.737578999999999,35.776346000000004,27.192532,85.32886500000001,20.250989,25.732159,55.696652,28.033123,1.256074,131.44433600000002,6.187263,0.011041,14.327995000000001,46.68735,19.027326000000002,15.608775,15.040325,2.506847,10.681396000000001,12.863112,50.479436,36.373396,45.193455,71.232677,29.045837310344826,5.203317795184488
