SynDB_Pre,KCNA1
SynDB_Pre,VAMP1
SynDB_Pre,GAPDH
SynDB_Pre,TPI1
SynDB_Pre,ENO2
SynDB_Pre,PHB2
SynDB_Pre,CNTN1
SynDB_Pre,PFKM
SynDB_Pre,AMHR2
SynDB_Pre,CS
SynDB_Pre,ATP5B
SynDB_Pre,DCTN2
SynDB_Pre,SYT1
SynDB_Pre,GIT2
SynDB_Pre,ATP2A2
SynDB_Pre,RPH3A
SynDB_Pre,ARHGEF7
SynDB_Pre,STXBP6
SynDB_Pre,RTN1
SynDB_Pre,GPHN
SynDB_Pre,ACTN1
SynDB_Pre,PAPLN
SynDB_Pre,STON2
SynDB_Pre,CALM1
SynDB_Pre,DYNC1H1
SynDB_Pre,HSP90AA1
SynDB_Pre,RAGE
SynDB_Pre,CKB
SynDB_Pre,CYFIP1
SynDB_Pre,MAP1A
SynDB_Pre,MYO5A
SynDB_Pre,TLN2
SynDB_Pre,TPM1
SynDB_Pre,PKM2
SynDB_Pre,NPTN
SynDB_Pre,COX5A
SynDB_Pre,IDH3A
SynDB_Pre,SNRPA1
SynDB_Pre,HBA2
SynDB_Pre,HBA1
SynDB_Pre,MAPK8IP3
SynDB_Pre,CASKIN1
SynDB_Pre,XYLT1
SynDB_Pre,UQCRC2
SynDB_Pre,TUFM
SynDB_Pre,ALDOA
SynDB_Pre,STX4
SynDB_Pre,VPS35
SynDB_Pre,GNAO1
SynDB_Pre,ATP6V0D1
SynDB_Pre,LCAT
SynDB_Pre,AP1G1
SynDB_Pre,TUBB3
SynDB_Pre,YWHAE
SynDB_Pre,PFN1
SynDB_Pre,C1QBP
SynDB_Pre,EIF5A
SynDB_Pre,VAMP2
SynDB_Pre,UBB
SynDB_Pre,EPN2
SynDB_Pre,KCNJ12
SynDB_Pre,ALDOC
SynDB_Pre,GIT1
SynDB_Pre,AP2B1
SynDB_Pre,JUP
SynDB_Pre,CNP
SynDB_Pre,ATP6V0A1
SynDB_Pre,MPP2
SynDB_Pre,GFAP
SynDB_Pre,NSF
SynDB_Pre,COL1A1
SynDB_Pre,CLTC
SynDB_Pre,GNA13
SynDB_Pre,PRKCA
SynDB_Pre,ATP5H
SynDB_Pre,GRB2
SynDB_Pre,ACTG1
SynDB_Pre,HGS
SynDB_Pre,EPB41L3
SynDB_Pre,NDUFV2
SynDB_Pre,NAPG
SynDB_Pre,AQP4
SynDB_Pre,CDH2
SynDB_Pre,ATP5A1
SynDB_Pre,WDR7
SynDB_Pre,MBP
SynDB_Pre,BSG
SynDB_Pre,SGTA
SynDB_Pre,PIP5K1C
SynDB_Pre,EEF2
SynDB_Pre,TUBB4
SynDB_Pre,STXBP2
SynDB_Pre,COL5A3
SynDB_Pre,DNM2
SynDB_Pre,PRDX2
SynDB_Pre,CALR
